distance_ticks,count,probability,cumulative_probability
-4,3,2.8957333299871527e-06,2.8957333299871527e-06
-3,12,1.158293331994861e-05,1.4478666649935764e-05
-2,43,4.150551106314919e-05,5.5984177713084955e-05
-1,74005,0.07143291502856641,0.0714888992062795
0,609812,0.5886176444753751,0.6601065436816547
1,119200,0.11505713764482287,0.7751636813264775
2,48644,0.04695335070129835,0.8221170320277759
3,23506,0.02268903588489267,0.8448060679126685
4,47291,0.045647374969474144,0.8904534428821427
5,24310,0.023465092417329227,0.9139185352994719
6,19021,0.018359914556561878,0.9322784498560337
7,17026,0.01643425189212042,0.9487127017481541
8,14692,0.014181371361390416,0.9628940731095446
9,12560,0.012123470208212878,0.9750175433177575
10,8578,0.008279866834876599,0.983297410152634
11,5538,0.0053455237271562836,0.9886429338797903
12,3454,0.0033339543072585416,0.9919768881870489
13,1536,0.0014826154649534222,0.9934595036520023
14,968,0.0009343566211425212,0.9943938602731448
15,580,0.0005598417771308495,0.9949537020502757
16,453,0.00043725573282806006,0.9953909577831037
17,333,0.0003214263996285739,0.9957123841827323
18,189,0.0001824311997891906,0.9958948153825216
19,134,0.0001293427554060928,0.9960241581379277
20,142,0.0001370647109527252,0.9961612228488804
21,68,6.563662214637545e-05,0.9962268594710268
22,62,5.984515548640115e-05,0.9962867046265133
23,64,6.177564437305926e-05,0.9963484802708863
24,57,5.50189332697559e-05,0.996403499204156
25,64,6.177564437305926e-05,0.9964652748485291
26,57,5.50189332697559e-05,0.9965202937817988
27,52,5.019271105311065e-05,0.996570486492852
28,66,6.370613325971735e-05,0.9966341926261116
29,31,2.9922577743200576e-05,0.9966641152038548
30,26,2.5096355526555324e-05,0.9966892115593814
31,140,0.0001351342220660671,0.9968243457814474
32,695,0.0006708448881136903,0.997495190669561
33,850,0.0008204577768296933,0.9983156484463908
34,1113,0.0010743170654252336,0.999389965511816
35,280,0.0002702684441321342,0.9996602339559482
36,81,7.818479990965312e-05,0.9997384187558578
37,54,5.2123199939768743e-05,0.9997905419557975
38,21,2.0270133309910068e-05,0.9998108120891075
39,19,1.8339644423251966e-05,0.9998291517335307
40,23,2.220062219656817e-05,0.9998513523557273
41,21,2.0270133309910068e-05,0.9998716224890373
42,16,1.5443911093264815e-05,0.9998870664001306
43,26,2.5096355526555324e-05,0.9999121627556572
44,22,2.123537775323912e-05,0.9999333981334104
45,11,1.061768887661956e-05,0.9999440158222871
46,8,7.721955546632408e-06,0.9999517377778337
47,11,1.061768887661956e-05,0.9999623554667104
48,8,7.721955546632408e-06,0.9999700774222571
49,12,1.158293331994861e-05,0.999981660355577
50,19,1.8339644423251966e-05,1.0
