quantity,count,probability,cumulative_probability
1,861,0.04141414141414142,0.04141414141414142
2,112,0.0053872053872053875,0.0468013468013468
3,544,0.026166426166426168,0.07296777296777297
4,63,0.0030303030303030303,0.07599807599807601
5,140,0.006734006734006734,0.08273208273208274
6,55,0.0026455026455026454,0.08537758537758539
7,47,0.002260702260702261,0.08763828763828764
8,56,0.0026936026936026937,0.09033189033189033
9,36,0.0017316017316017316,0.09206349206349207
10,340,0.016354016354016353,0.10841750841750843
11,31,0.0014911014911014912,0.10990860990860991
12,40,0.001924001924001924,0.11183261183261184
13,39,0.001875901875901876,0.11370851370851372
14,53,0.0025493025493025494,0.11625781625781627
15,72,0.003463203463203463,0.11972101972101973
16,44,0.0021164021164021165,0.12183742183742184
17,70,0.003367003367003367,0.1252044252044252
18,87,0.004184704184704185,0.1293891293891294
19,70,0.003367003367003367,0.13275613275613277
20,120,0.005772005772005772,0.13852813852813853
21,64,0.0030784030784030783,0.1416065416065416
22,66,0.0031746031746031746,0.14478114478114476
23,59,0.002837902837902838,0.1476190476190476
24,52,0.002501202501202501,0.1501202501202501
25,109,0.005242905242905243,0.15536315536315534
26,39,0.001875901875901876,0.1572390572390572
27,46,0.0022126022126022125,0.15945165945165943
28,43,0.002068302068302068,0.1615199615199615
29,37,0.0017797017797017798,0.16329966329966328
30,96,0.004617604617604618,0.1679172679172679
31,21,0.00101010101010101,0.16892736892736893
32,66,0.0031746031746031746,0.1721019721019721
33,54,0.0025974025974025974,0.1746993746993747
34,62,0.0029822029822029823,0.17768157768157766
35,84,0.00404040404040404,0.1817219817219817
36,109,0.005242905242905243,0.18696488696488694
37,117,0.005627705627705628,0.19259259259259257
38,92,0.004425204425204425,0.19701779701779698
39,81,0.003896103896103896,0.20091390091390088
40,167,0.008032708032708032,0.2089466089466089
41,37,0.0017797017797017798,0.21072631072631068
42,44,0.0021164021164021165,0.2128427128427128
43,19,0.0009139009139009139,0.21375661375661373
44,31,0.0014911014911014912,0.21524771524771522
45,40,0.001924001924001924,0.21717171717171713
46,25,0.0012025012025012026,0.21837421837421833
47,23,0.0011063011063011062,0.21948051948051944
48,27,0.0012987012987012987,0.22077922077922074
49,29,0.0013949013949013948,0.22217412217412214
50,298,0.014333814333814334,0.23650793650793647
51,28,0.0013468013468013469,0.23785473785473782
52,22,0.0010582010582010583,0.23891293891293888
53,25,0.0012025012025012026,0.2401154401154401
54,23,0.0011063011063011062,0.2412217412217412
55,32,0.0015392015392015391,0.24276094276094273
56,20,0.000962000962000962,0.2437229437229437
57,21,0.00101010101010101,0.24473304473304472
58,23,0.0011063011063011062,0.24583934583934583
59,22,0.0010582010582010583,0.2468975468975469
60,65,0.0031265031265031266,0.25002405002405004
61,27,0.0012987012987012987,0.25132275132275134
62,26,0.0012506012506012505,0.25257335257335256
63,22,0.0010582010582010583,0.2536315536315536
64,27,0.0012987012987012987,0.2549302549302549
65,50,0.002405002405002405,0.2573352573352573
66,25,0.0012025012025012026,0.2585377585377585
67,15,0.0007215007215007215,0.25925925925925924
68,21,0.00101010101010101,0.26026936026936026
69,10,0.000481000481000481,0.26075036075036073
70,40,0.001924001924001924,0.26267436267436267
71,25,0.0012025012025012026,0.2638768638768639
72,29,0.0013949013949013948,0.26527176527176527
73,19,0.0009139009139009139,0.2661856661856662
74,27,0.0012987012987012987,0.2674843674843675
75,33,0.0015873015873015873,0.2690716690716691
76,22,0.0010582010582010583,0.2701298701298701
77,34,0.0016354016354016355,0.27176527176527177
78,21,0.00101010101010101,0.2727753727753728
79,20,0.000962000962000962,0.2737373737373737
80,41,0.0019721019721019722,0.2757094757094757
81,22,0.0010582010582010583,0.2767676767676767
82,19,0.0009139009139009139,0.27768157768157764
83,29,0.0013949013949013948,0.27907647907647903
84,20,0.000962000962000962,0.28003848003848
85,53,0.0025493025493025494,0.2825877825877825
86,23,0.0011063011063011062,0.2836940836940836
87,20,0.000962000962000962,0.28465608465608455
88,30,0.001443001443001443,0.286099086099086
89,21,0.00101010101010101,0.28710918710918704
90,67,0.0032227032227032226,0.2903318903318903
91,26,0.0012506012506012505,0.2915824915824915
92,22,0.0010582010582010583,0.29264069264069253
93,21,0.00101010101010101,0.29365079365079355
94,48,0.002308802308802309,0.29595959595959587
95,47,0.002260702260702261,0.2982202982202981
96,23,0.0011063011063011062,0.2993265993265992
97,24,0.0011544011544011544,0.30048100048100035
98,35,0.0016835016835016834,0.302164502164502
99,46,0.0022126022126022125,0.30437710437710425
100,9595,0.4615199615199615,0.7658970658970657
101,7,0.0003367003367003367,0.766233766233766
102,5,0.0002405002405002405,0.7664742664742663
103,4,0.0001924001924001924,0.7666666666666665
104,12,0.0005772005772005772,0.7672438672438671
105,7,0.0003367003367003367,0.7675805675805674
106,5,0.0002405002405002405,0.7678210678210676
107,7,0.0003367003367003367,0.7681577681577679
108,6,0.0002886002886002886,0.7684463684463683
109,8,0.0003848003848003848,0.7688311688311686
110,11,0.0005291005291005291,0.7693602693602691
111,6,0.0002886002886002886,0.7696488696488695
112,5,0.0002405002405002405,0.7698893698893697
113,3,0.0001443001443001443,0.7700336700336698
114,2,9.62000962000962e-05,0.77012987012987
115,3,0.0001443001443001443,0.7702741702741701
116,8,0.0003848003848003848,0.7706589706589705
117,19,0.0009139009139009139,0.7715728715728714
118,7,0.0003367003367003367,0.7719095719095717
119,2,9.62000962000962e-05,0.7720057720057718
120,6,0.0002886002886002886,0.7722943722943721
121,9,0.0004329004329004329,0.7727272727272726
122,6,0.0002886002886002886,0.7730158730158729
123,7,0.0003367003367003367,0.7733525733525732
124,5,0.0002405002405002405,0.7735930735930735
125,12,0.0005772005772005772,0.7741702741702741
126,6,0.0002886002886002886,0.7744588744588744
127,6,0.0002886002886002886,0.7747474747474747
128,8,0.0003848003848003848,0.7751322751322751
129,5,0.0002405002405002405,0.7753727753727754
130,21,0.00101010101010101,0.7763828763828764
131,5,0.0002405002405002405,0.7766233766233767
132,4,0.0001924001924001924,0.7768157768157768
133,5,0.0002405002405002405,0.7770562770562771
134,3,0.0001443001443001443,0.7772005772005772
135,6,0.0002886002886002886,0.7774891774891776
136,2,9.62000962000962e-05,0.7775853775853777
137,7,0.0003367003367003367,0.777922077922078
138,4,0.0001924001924001924,0.7781144781144782
139,4,0.0001924001924001924,0.7783068783068784
140,16,0.0007696007696007696,0.7790764790764791
141,6,0.0002886002886002886,0.7793650793650795
142,9,0.0004329004329004329,0.7797979797979799
143,10,0.000481000481000481,0.7802789802789805
144,9,0.0004329004329004329,0.7807118807118809
145,5,0.0002405002405002405,0.7809523809523812
146,2,9.62000962000962e-05,0.7810485810485813
147,6,0.0002886002886002886,0.7813371813371817
148,3,0.0001443001443001443,0.7814814814814818
149,4,0.0001924001924001924,0.781673881673882
150,46,0.0022126022126022125,0.7838864838864842
151,3,0.0001443001443001443,0.7840307840307843
152,6,0.0002886002886002886,0.7843193843193846
153,3,0.0001443001443001443,0.7844636844636848
154,1,4.81000481000481e-05,0.7845117845117848
155,5,0.0002405002405002405,0.7847522847522851
156,2,9.62000962000962e-05,0.7848484848484852
157,2,9.62000962000962e-05,0.7849446849446854
158,9,0.0004329004329004329,0.7853775853775858
159,4,0.0001924001924001924,0.785569985569986
160,12,0.0005772005772005772,0.7861471861471866
161,7,0.0003367003367003367,0.7864838864838869
162,2,9.62000962000962e-05,0.786580086580087
163,8,0.0003848003848003848,0.7869648869648874
164,5,0.0002405002405002405,0.7872053872053877
165,7,0.0003367003367003367,0.787542087542088
166,5,0.0002405002405002405,0.7877825877825883
167,6,0.0002886002886002886,0.7880711880711886
168,7,0.0003367003367003367,0.7884078884078889
169,4,0.0001924001924001924,0.7886002886002891
170,14,0.0006734006734006734,0.7892736892736898
171,8,0.0003848003848003848,0.7896584896584902
172,6,0.0002886002886002886,0.7899470899470905
173,4,0.0001924001924001924,0.7901394901394907
174,4,0.0001924001924001924,0.7903318903318909
175,3,0.0001443001443001443,0.790476190476191
176,5,0.0002405002405002405,0.7907166907166913
177,5,0.0002405002405002405,0.7909571909571915
178,5,0.0002405002405002405,0.7911976911976918
179,6,0.0002886002886002886,0.7914862914862921
180,6,0.0002886002886002886,0.7917748917748925
181,4,0.0001924001924001924,0.7919672919672927
182,6,0.0002886002886002886,0.792255892255893
183,8,0.0003848003848003848,0.7926406926406934
184,8,0.0003848003848003848,0.7930254930254937
185,2,9.62000962000962e-05,0.7931216931216939
186,3,0.0001443001443001443,0.793265993265994
187,5,0.0002405002405002405,0.7935064935064943
188,3,0.0001443001443001443,0.7936507936507944
189,8,0.0003848003848003848,0.7940355940355948
190,8,0.0003848003848003848,0.7944203944203951
191,5,0.0002405002405002405,0.7946608946608954
192,7,0.0003367003367003367,0.7949975949975957
193,6,0.0002886002886002886,0.795286195286196
194,8,0.0003848003848003848,0.7956709956709964
195,8,0.0003848003848003848,0.7960557960557968
196,8,0.0003848003848003848,0.7964405964405972
197,7,0.0003367003367003367,0.7967772967772975
198,8,0.0003848003848003848,0.7971620971620978
199,11,0.0005291005291005291,0.7976911976911983
200,1712,0.08234728234728235,0.8800384800384807
201,2,9.62000962000962e-05,0.8801346801346809
202,3,0.0001443001443001443,0.880278980278981
203,5,0.0002405002405002405,0.8805194805194813
204,2,9.62000962000962e-05,0.8806156806156814
205,4,0.0001924001924001924,0.8808080808080816
206,6,0.0002886002886002886,0.8810966810966819
207,3,0.0001443001443001443,0.881240981240982
208,3,0.0001443001443001443,0.8813852813852822
209,2,9.62000962000962e-05,0.8814814814814823
210,5,0.0002405002405002405,0.8817219817219826
211,3,0.0001443001443001443,0.8818662818662827
212,4,0.0001924001924001924,0.8820586820586829
213,3,0.0001443001443001443,0.882202982202983
214,2,9.62000962000962e-05,0.8822991822991831
215,5,0.0002405002405002405,0.8825396825396834
216,4,0.0001924001924001924,0.8827320827320836
217,7,0.0003367003367003367,0.8830687830687839
218,3,0.0001443001443001443,0.883213083213084
219,1,4.81000481000481e-05,0.8832611832611841
220,3,0.0001443001443001443,0.8834054834054842
221,4,0.0001924001924001924,0.8835978835978844
223,6,0.0002886002886002886,0.8838864838864847
224,1,4.81000481000481e-05,0.8839345839345848
225,2,9.62000962000962e-05,0.8840307840307849
226,3,0.0001443001443001443,0.8841750841750851
227,3,0.0001443001443001443,0.8843193843193852
228,3,0.0001443001443001443,0.8844636844636853
229,3,0.0001443001443001443,0.8846079846079854
230,3,0.0001443001443001443,0.8847522847522855
231,6,0.0002886002886002886,0.8850408850408858
232,4,0.0001924001924001924,0.885233285233286
233,4,0.0001924001924001924,0.8854256854256862
234,4,0.0001924001924001924,0.8856180856180864
235,7,0.0003367003367003367,0.8859547859547867
236,1,4.81000481000481e-05,0.8860028860028868
237,4,0.0001924001924001924,0.886195286195287
238,4,0.0001924001924001924,0.8863876863876872
239,4,0.0001924001924001924,0.8865800865800874
240,4,0.0001924001924001924,0.8867724867724875
241,2,9.62000962000962e-05,0.8868686868686877
242,4,0.0001924001924001924,0.8870610870610879
243,2,9.62000962000962e-05,0.887157287157288
244,4,0.0001924001924001924,0.8873496873496882
246,5,0.0002405002405002405,0.8875901875901885
247,3,0.0001443001443001443,0.8877344877344886
248,2,9.62000962000962e-05,0.8878306878306887
249,1,4.81000481000481e-05,0.8878787878787888
250,11,0.0005291005291005291,0.8884078884078893
251,2,9.62000962000962e-05,0.8885040885040895
252,3,0.0001443001443001443,0.8886483886483896
253,1,4.81000481000481e-05,0.8886964886964897
255,1,4.81000481000481e-05,0.8887445887445897
256,3,0.0001443001443001443,0.8888888888888898
257,4,0.0001924001924001924,0.88908128908129
258,4,0.0001924001924001924,0.8892736892736902
259,2,9.62000962000962e-05,0.8893698893698904
260,4,0.0001924001924001924,0.8895622895622906
262,2,9.62000962000962e-05,0.8896584896584907
263,4,0.0001924001924001924,0.8898508898508909
264,4,0.0001924001924001924,0.8900432900432911
265,2,9.62000962000962e-05,0.8901394901394912
266,5,0.0002405002405002405,0.8903799903799915
267,2,9.62000962000962e-05,0.8904761904761916
268,4,0.0001924001924001924,0.8906685906685918
269,1,4.81000481000481e-05,0.8907166907166919
271,1,4.81000481000481e-05,0.890764790764792
272,4,0.0001924001924001924,0.8909571909571922
273,3,0.0001443001443001443,0.8911014911014923
274,2,9.62000962000962e-05,0.8911976911976924
276,4,0.0001924001924001924,0.8913900913900926
277,4,0.0001924001924001924,0.8915824915824928
279,6,0.0002886002886002886,0.8918710918710931
280,4,0.0001924001924001924,0.8920634920634933
282,1,4.81000481000481e-05,0.8921115921115934
283,3,0.0001443001443001443,0.8922558922558935
284,3,0.0001443001443001443,0.8924001924001936
285,2,9.62000962000962e-05,0.8924963924963938
286,1,4.81000481000481e-05,0.8925444925444939
287,1,4.81000481000481e-05,0.8925925925925939
288,6,0.0002886002886002886,0.8928811928811943
289,4,0.0001924001924001924,0.8930735930735945
290,1,4.81000481000481e-05,0.8931216931216945
291,2,9.62000962000962e-05,0.8932178932178947
292,2,9.62000962000962e-05,0.8933140933140948
293,2,9.62000962000962e-05,0.893410293410295
294,3,0.0001443001443001443,0.8935545935545951
295,3,0.0001443001443001443,0.8936988936988952
296,3,0.0001443001443001443,0.8938431938431953
297,6,0.0002886002886002886,0.8941317941317957
298,1,4.81000481000481e-05,0.8941798941798957
299,5,0.0002405002405002405,0.894420394420396
300,597,0.028715728715728715,0.9231361231361247
301,4,0.0001924001924001924,0.9233285233285249
302,6,0.0002886002886002886,0.9236171236171252
303,4,0.0001924001924001924,0.9238095238095254
304,5,0.0002405002405002405,0.9240500240500257
305,5,0.0002405002405002405,0.9242905242905259
306,3,0.0001443001443001443,0.924434824434826
307,1,4.81000481000481e-05,0.9244829244829261
308,2,9.62000962000962e-05,0.9245791245791263
309,3,0.0001443001443001443,0.9247234247234264
310,6,0.0002886002886002886,0.9250120250120267
311,5,0.0002405002405002405,0.925252525252527
312,5,0.0002405002405002405,0.9254930254930273
313,1,4.81000481000481e-05,0.9255411255411273
314,4,0.0001924001924001924,0.9257335257335275
315,5,0.0002405002405002405,0.9259740259740278
316,2,9.62000962000962e-05,0.9260702260702279
317,3,0.0001443001443001443,0.926214526214528
318,1,4.81000481000481e-05,0.9262626262626281
319,2,9.62000962000962e-05,0.9263588263588283
320,3,0.0001443001443001443,0.9265031265031284
321,2,9.62000962000962e-05,0.9265993265993285
322,3,0.0001443001443001443,0.9267436267436286
323,2,9.62000962000962e-05,0.9268398268398288
324,2,9.62000962000962e-05,0.926936026936029
325,7,0.0003367003367003367,0.9272727272727292
326,3,0.0001443001443001443,0.9274170274170294
327,2,9.62000962000962e-05,0.9275132275132295
328,1,4.81000481000481e-05,0.9275613275613296
329,5,0.0002405002405002405,0.9278018278018298
330,5,0.0002405002405002405,0.9280423280423301
331,5,0.0002405002405002405,0.9282828282828304
332,1,4.81000481000481e-05,0.9283309283309304
333,1,4.81000481000481e-05,0.9283790283790305
334,2,9.62000962000962e-05,0.9284752284752307
336,3,0.0001443001443001443,0.9286195286195308
337,2,9.62000962000962e-05,0.9287157287157309
338,2,9.62000962000962e-05,0.9288119288119311
340,3,0.0001443001443001443,0.9289562289562312
341,1,4.81000481000481e-05,0.9290043290043313
342,1,4.81000481000481e-05,0.9290524290524313
343,3,0.0001443001443001443,0.9291967291967315
344,3,0.0001443001443001443,0.9293410293410316
345,4,0.0001924001924001924,0.9295334295334318
346,2,9.62000962000962e-05,0.9296296296296319
347,1,4.81000481000481e-05,0.929677729677732
348,3,0.0001443001443001443,0.9298220298220321
349,3,0.0001443001443001443,0.9299663299663322
350,3,0.0001443001443001443,0.9301106301106323
353,3,0.0001443001443001443,0.9302549302549324
354,1,4.81000481000481e-05,0.9303030303030325
355,2,9.62000962000962e-05,0.9303992303992327
356,1,4.81000481000481e-05,0.9304473304473327
357,1,4.81000481000481e-05,0.9304954304954328
358,1,4.81000481000481e-05,0.9305435305435329
359,4,0.0001924001924001924,0.9307359307359331
360,4,0.0001924001924001924,0.9309283309283333
361,1,4.81000481000481e-05,0.9309764309764333
362,1,4.81000481000481e-05,0.9310245310245334
363,3,0.0001443001443001443,0.9311688311688335
364,2,9.62000962000962e-05,0.9312650312650337
365,1,4.81000481000481e-05,0.9313131313131338
366,2,9.62000962000962e-05,0.9314093314093339
368,1,4.81000481000481e-05,0.931457431457434
369,1,4.81000481000481e-05,0.9315055315055341
370,4,0.0001924001924001924,0.9316979316979342
371,2,9.62000962000962e-05,0.9317941317941344
372,2,9.62000962000962e-05,0.9318903318903345
373,1,4.81000481000481e-05,0.9319384319384346
374,2,9.62000962000962e-05,0.9320346320346348
375,3,0.0001443001443001443,0.9321789321789349
376,1,4.81000481000481e-05,0.932227032227035
377,2,9.62000962000962e-05,0.9323232323232351
378,2,9.62000962000962e-05,0.9324194324194353
379,2,9.62000962000962e-05,0.9325156325156354
380,2,9.62000962000962e-05,0.9326118326118356
381,1,4.81000481000481e-05,0.9326599326599356
382,3,0.0001443001443001443,0.9328042328042357
383,3,0.0001443001443001443,0.9329485329485359
384,2,9.62000962000962e-05,0.933044733044736
385,2,9.62000962000962e-05,0.9331409331409362
386,3,0.0001443001443001443,0.9332852332852363
387,1,4.81000481000481e-05,0.9333333333333363
388,4,0.0001924001924001924,0.9335257335257365
389,1,4.81000481000481e-05,0.9335738335738366
390,3,0.0001443001443001443,0.9337181337181367
391,4,0.0001924001924001924,0.9339105339105369
392,1,4.81000481000481e-05,0.933958633958637
393,1,4.81000481000481e-05,0.9340067340067371
394,2,9.62000962000962e-05,0.9341029341029372
395,4,0.0001924001924001924,0.9342953342953374
396,2,9.62000962000962e-05,0.9343915343915375
397,1,4.81000481000481e-05,0.9344396344396376
398,3,0.0001443001443001443,0.9345839345839377
399,1,4.81000481000481e-05,0.9346320346320378
400,161,0.007744107744107744,0.9423761423761455
401,2,9.62000962000962e-05,0.9424723424723457
