distance_ticks,count,probability,cumulative_probability
-5,2,1.950026666614666e-06,1.950026666614666e-06
-4,7,6.8250933331513304e-06,8.775119999765997e-06
-3,15,1.4625199999609994e-05,2.340031999937599e-05
-2,53,5.1675706665288646e-05,7.507602666466463e-05
-1,71587,0.06979827949147205,0.06987335551813671
0,604852,0.589738764677607,0.6596121201957437
1,121694,0.11865327258350258,0.7782653927792462
2,50729,0.049461451385347695,0.827726844164594
3,26681,0.026014330745972952,0.8537411749105669
4,44173,0.04306926397218482,0.8968104388827517
5,24932,0.024309032426018427,0.9211194713087701
6,15068,0.014691500906274893,0.9358109722150451
7,13924,0.013576085652971304,0.9493870578680164
8,15606,0.015216058079594239,0.9646031159476106
9,12857,0.01253574642633238,0.977138862373943
10,8135,0.007931733466455154,0.9850705958403981
11,3948,0.0038493526398973507,0.9889199484802955
12,2584,0.0025194344532661482,0.9914393829335617
13,1289,0.0012567921866331521,0.9926961751201948
14,807,0.0007868357599790177,0.9934830108801739
15,590,0.0005752578666513265,0.9940582687468252
16,560,0.0005460074666521064,0.9946042762134774
17,570,0.0005557575999851799,0.9951600338134625
18,340,0.0003315045333244932,0.995491538346787
19,276,0.0002691036799928239,0.9957606420267798
20,210,0.00020475279999453993,0.9959653948267744
21,136,0.0001326018133297973,0.9960979966401041
22,85,8.28761333311233e-05,0.9961808727734353
23,69,6.727591999820598e-05,0.9962481486934335
24,66,6.435087999828398e-05,0.9963124995734317
25,51,4.972567999867398e-05,0.9963622252534304
26,72,7.020095999812797e-05,0.9964324262134285
27,55,5.3625733331903315e-05,0.9964860519467604
28,38,3.705050666567865e-05,0.9965231024534261
29,35,3.412546666575665e-05,0.9965572279200918
30,141,0.00013747687999633395,0.9966947048000881
31,103,0.0001004263733306553,0.9967951311734188
32,714,0.0006961595199814357,0.9974912906934003
33,888,0.0008658118399769117,0.9983571025333772
34,1043,0.0010169389066395484,0.9993740414400167
35,248,0.00024180330666021858,0.999615844746677
36,36,3.510047999906399e-05,0.9996509452266761
37,25,2.4375333332683324e-05,0.9996753205600087
38,16,1.5600213332917327e-05,0.9996909207733417
39,52,5.070069333198132e-05,0.9997416214666737
40,45,4.387559999882999e-05,0.9997854970666725
41,28,2.7300373332605322e-05,0.9998127974400052
42,26,2.535034666599066e-05,0.9998381477866711
43,18,1.7550239999531993e-05,0.9998556980266706
44,19,1.8525253332839325e-05,0.9998742232800034
45,25,2.4375333332683324e-05,0.9998985986133361
46,17,1.6575226666224662e-05,0.9999151738400023
47,25,2.4375333332683324e-05,0.9999395491733349
48,15,1.4625199999609994e-05,0.9999541743733346
49,23,2.2425306666068658e-05,0.9999765996800006
50,24,2.3400319999375992e-05,1
