quantity,count,probability,cumulative_probability
1,336,0.0003097733491661934,0.0003097733491661934
2,1538,0.0014179506280285878,0.0017277239771947813
3,668,0.0006158589203661226,0.002343582897560904
4,140,0.00012907222881924726,0.0024726551263801514
5,555,0.0005116791928191588,0.00298433431919931
6,228,0.00021020334407705982,0.00319453766327637
7,262,0.00024154945679030556,0.0034360871200666753
8,191,0.00017609139788911588,0.0036121785179557913
9,141,0.0001299941733108133,0.0037421726912666045
10,1154,0.0010639239432672237,0.004806096634533828
11,111,0.00010233583856383175,0.00490843247309766
12,187,0.0001724036199228517,0.0050808360930205115
13,95,8.758472669877492e-05,0.005168420819719286
14,145,0.0001336819512770775,0.0053021027709963635
15,207,0.00019084250975417272,0.0054929452807505365
16,188,0.00017332556441441773,0.005666270845164954
17,214,0.00019729612119513508,0.005863566966360089
18,343,0.00031622696060715574,0.0061797939269672445
19,180,0.0001659500084818893,0.006345743935449134
20,329,0.00030331973772523103,0.006649063673174365
21,502,0.000462816134766158,0.007111879807940523
22,4387,0.004044570484500269,0.011156450292440792
23,225,0.00020743751060236165,0.011363887803043154
24,307,0.0002830369589107779,0.011646924761953932
25,272,0.0002507689017059661,0.011897693663659897
26,195,0.0001797791758553801,0.012077472839515277
27,145,0.0001336819512770775,0.012211154790792355
28,313,0.0002885686258601742,0.01249972341665253
29,168,0.0001548866745830967,0.012654610091235625
30,419,0.0003862947419661757,0.013040904833201802
31,175,0.00016134028602405906,0.013202245119225861
32,237,0.00021850084450115428,0.013420745963727016
33,292,0.00026920779153728714,0.013689953755264304
34,273,0.00025169084619753213,0.013941644601461836
35,308,0.00028395890340234393,0.01422560350486418
36,420,0.00038721668645774174,0.014612820191321922
37,775,0.0007145069809636901,0.015327327172285613
38,526,0.00048494280256374325,0.015812269974849358
39,612,0.0005642300288384237,0.01637650000368778
40,515,0.00047480141315651666,0.016851301416844298
41,228,0.00021020334407705982,0.01706150476092136
42,316,0.00029133445933487236,0.017352839220256232
43,213,0.00019637417670356904,0.0175492133969598
44,136,0.00012538445085298304,0.017674597847812782
45,202,0.00018623278729634247,0.017860830635109126
46,172,0.00015857445254936092,0.018019405087658487
47,91,8.389694873251071e-05,0.018103302036390996
48,255,0.0002350958453493432,0.01833839788174034
49,158,0.00014566722966743618,0.018484065111407776
50,357,0.0003291341834890805,0.018813199294896856
51,94,8.666278220720887e-05,0.018899862077104066
52,166,0.0001530427855999646,0.019052904862704032
53,167,0.00015396473009153064,0.019206869592795564
54,171,0.00015765250805779485,0.01936452210085336
55,140,0.00012907222881924726,0.019493594329672605
56,146,0.00013460389576864357,0.01962819822544125
57,231,0.00021296917755175796,0.019841167402993007
58,136,0.00012538445085298304,0.01996655185384599
59,108,9.957000508913359e-05,0.020066121858935124
60,247,0.00022772028941681478,0.020293842148351938
61,296,0.00027289556950355135,0.02056673771785549
62,284,0.0002618322356047587,0.020828569953460246
63,197,0.0001816230648385122,0.02101019301829876
64,173,0.00015949639704092696,0.021169689415339685
65,108,9.957000508913359e-05,0.02126925942042882
66,125,0.00011524306144575648,0.021384502481874575
67,175,0.00016134028602405906,0.021545842767898633
68,128,0.00011800889492045464,0.021663851662819086
69,127,0.00011708695042888858,0.021780938613247973
70,291,0.00026828584704572105,0.022049224460293695
71,188,0.00017332556441441773,0.02222255002470811
72,213,0.00019637417670356904,0.02241892420141168
73,94,8.666278220720887e-05,0.02250558698361889
74,117,0.00010786750551322805,0.02261345448913212
75,259,0.00023878362331560742,0.022852238112447725
76,220,0.0002028277881445314,0.023055065900592257
77,382,0.00035218279577823176,0.023407248696370488
78,87,8.020917076624651e-05,0.023487457867136734
79,207,0.00019084250975417272,0.023678300376890907
80,252,0.00023233001187464506,0.023910630388765553
81,100,9.219444915660518e-05,0.024002824837922158
82,140,0.00012907222881924726,0.024131897066741403
83,197,0.0001816230648385122,0.024313520131579915
84,95,8.758472669877492e-05,0.02440110485827869
85,153,0.00014105750720960593,0.0245421623654883
86,179,0.00016502806399032327,0.024707190429478623
