event_type,observed_count,observed_rate_per_second,stationary_target_rate,configured_mu,stationary_reconstructed_rate
limit_buy,2924,0.02499145299145299,0.027083381091268312,0.0884723782314765,0.027083381091268312
limit_sell,3264,0.027897435897435898,0.02580550779762058,0.0842979921388939,0.02580550779762058
market_buy,186,0.0015897435897435897,0.0017973694018039946,0.005871406712559716,0.0017973694018039946
market_sell,238,0.002034188034188034,0.001826562222127629,0.005966769925616921,0.001826562222127629
cancel_bid,2446,0.020905982905982907,0.04181205851073656,0.13658605780173944,0.04181205851073656
cancel_ask,2870,0.02452991452991453,0.03138697652826149,0.10253078999232086,0.03138697652826149
