event_type,observed_count,observed_rate_per_second,stationary_target_rate,configured_mu,stationary_reconstructed_rate
limit_buy,5923,0.050623931623931626,0.048125667571979544,0.1572105140684665,0.048125667571979544
limit_sell,2272,0.019418803418803417,0.021917067470755502,0.07159575373780132,0.021917067470755506
market_buy,175,0.0014957264957264958,0.0015335105710500266,0.005009467865430087,0.0015335105710500266
market_sell,215,0.0018376068376068377,0.0017998227622833074,0.0058794210234588045,0.0017998227622833074
cancel_bid,5499,0.047,0.05162993148097486,0.16865777617118455,0.05162993148097486
cancel_ask,1951,0.016675213675213674,0.025749385706208622,0.08411465997361484,0.025749385706208622
