risk_limit_per_asset,cluster_id,seed_count,non_target_symbol_count,mean_baseline_uncoupled_top_depth,mean_baseline_uncoupled_spread_bps,depth_difference_in_differences_mean,depth_difference_in_differences_median,depth_difference_in_differences_sample_sd,depth_difference_in_differences_mcse,depth_difference_in_differences_normal_95_ci_lower,depth_difference_in_differences_normal_95_ci_upper,depth_difference_in_differences_minimum,depth_difference_in_differences_maximum,depth_difference_in_differences_percent_of_baseline_mean,depth_difference_in_differences_percent_of_baseline_median,depth_difference_in_differences_percent_of_baseline_sample_sd,depth_difference_in_differences_percent_of_baseline_mcse,depth_difference_in_differences_percent_of_baseline_normal_95_ci_lower,depth_difference_in_differences_percent_of_baseline_normal_95_ci_upper,depth_difference_in_differences_percent_of_baseline_minimum,depth_difference_in_differences_percent_of_baseline_maximum,spread_difference_in_differences_bps_mean,spread_difference_in_differences_bps_median,spread_difference_in_differences_bps_sample_sd,spread_difference_in_differences_bps_mcse,spread_difference_in_differences_bps_normal_95_ci_lower,spread_difference_in_differences_bps_normal_95_ci_upper,spread_difference_in_differences_bps_minimum,spread_difference_in_differences_bps_maximum,spread_difference_in_differences_percent_of_baseline_mean,spread_difference_in_differences_percent_of_baseline_median,spread_difference_in_differences_percent_of_baseline_sample_sd,spread_difference_in_differences_percent_of_baseline_mcse,spread_difference_in_differences_percent_of_baseline_normal_95_ci_lower,spread_difference_in_differences_percent_of_baseline_normal_95_ci_upper,spread_difference_in_differences_percent_of_baseline_minimum,spread_difference_in_differences_percent_of_baseline_maximum
800,0,20,131,543.0045952078017,58.78259230358289,1.9629959711598928,1.7971692111980246,5.7273830817707045,1.2806817904021532,-0.5471403380283277,4.473132280348113,-8.879198473293343,16.00530110262673,0.3884388989542253,0.3809640245886302,1.137650215649689,0.25438632168099995,-0.11015829154053458,0.8870360894489852,-1.783110323220664,3.132007374277056,-0.03252777946874943,-0.047329878981667406,0.12594489196897873,0.028162133986150376,-0.08772556208160416,0.022670003144105305,-0.27800738112221524,0.2730268032922254,-0.05326927149137127,-0.08015199419934509,0.2052962365613353,0.04590563404760234,-0.14324431422467185,0.03670577124192931,-0.44021239576986454,0.43606464129809797
800,1,20,130,1089.4328444444436,51.92087627695175,6.369421794869169,2.7885085470041986,39.26982406212348,8.780999606736502,-10.841337434334374,23.58018102407271,-82.2797692307712,102.47611965811757,0.48292623340035934,0.2569183344017807,3.6698244567691285,0.8205976950827009,-1.1254452489617344,2.091297715762453,-8.79334255263904,8.315252651309072,-0.0310234060252224,0.006458658758337066,0.1905003506911125,0.04259717338828766,-0.11451386586626622,0.052467053815821424,-0.34229896982944297,0.2804916265277768,-0.05679112692567574,0.011560714826803969,0.36028438085925374,0.08056203668327154,-0.21469271882488794,0.10111046497353647,-0.6120600260952516,0.5536191545532082
800,2,20,172,450.5025977067165,8.471840898838138,-3.6562005813983633,-2.328950258408355,10.837683146327265,2.4233796233791565,-8.40602464322151,1.0936234804247835,-25.309505813959504,13.574735142113923,-0.9237991629163126,-0.5757123421294164,2.732777610306082,0.611067650403383,-2.121491757706943,0.2738934318743179,-6.354008440465794,3.3055721113183925,0.012181709689000097,0.013766380452500115,0.09534046715218801,0.021318776555887816,-0.02960309236054002,0.05396651173854022,-0.1994079712283341,0.16394548125166786,0.14553858157704216,0.1608569501274962,1.1394672457793664,0.25479262196971236,-0.3538549574835941,0.6449321206376784,-2.396945491859436,2.0411950928199496
800,3,20,239,606.6639764063223,17.30810993342964,-2.645520106927907,-1.1750209204941484,23.584295541382946,5.273608803197747,-12.98179336119549,7.690753147339676,-81.08639005113218,35.48017898651335,-0.5449226550287677,-0.21636505238859777,4.318464458029199,0.9656380086570077,-2.4375731519965025,1.3477278419389673,-15.053560194895743,6.622125897327489,0.010677854050695323,0.011044997709722892,0.05010161423382985,0.011203061520931458,-0.011280146530330333,0.03263585463172098,-0.10232132212222211,0.1160318851955573,0.06138401437587312,0.06683363319634686,0.28970674332066015,0.06478039716050792,-0.0655855640587224,0.18835359281046865,-0.5863229415484673,0.6730742197831008
800,4,20,145,2675.293560919542,63.98867898110761,0.869424712649311,-4.423078544059308,34.94991240862799,7.815037995335558,-14.448049758208382,16.186899183507006,-57.25886590037271,116.90685823755166,-0.022874607015600658,-0.13388012473800245,1.1123539121782429,0.2487298962668382,-0.5103852036986035,0.46463598966740216,-2.4730740898642836,3.0423060833440974,0.004737898026223775,0.008785975836943294,0.1283814472677112,0.028706964314040687,-0.05152775202929597,0.061003548081743526,-0.2928361570877769,0.2925593057438931,0.00758993902708794,0.01304534043106841,0.1920144861874958,0.0429357443779935,-0.07656411995377932,0.09174399800795521,-0.4446302856834396,0.43500033190914095
800,5,20,176,709.2523164457092,6.967139611917972,-8.035284090913176,-10.623413825761986,80.25157685712595,17.944798115408254,-43.20708839711335,27.136520215287003,-147.0072506313145,285.7546022727371,-2.0936235880898915,-1.7047252012370324,9.734130373990851,2.176617721808899,-6.3597943228353335,2.1725471466555506,-24.05697639782357,28.75926926869483,0.0032279732673056393,0.0049605517147219835,0.03582306530540679,0.008010280918530385,-0.012472177333013914,0.018928123867625192,-0.07898953039944523,0.06118566958833327,0.052356383989000235,0.07141970010380332,0.4998453891444405,0.11176882683668043,-0.16671051661089342,0.27142328458889386,-1.0521044112447233,0.8335556226430452
800,6,20,131,1562.646506997458,14.680545064239748,12.075433206106037,1.4709605597882955,60.82623769371655,13.601160229871024,-14.582840844441169,38.73370725665325,-102.62009329939724,112.60686174725879,0.7042368385299563,0.09633531076808108,4.003352337905615,0.8951767965439663,-1.0503096826962177,2.45878335975613,-7.19937769393998,7.5933741773421355,0.004760180921278145,0.006641348356112076,0.050845295428391356,0.011369353691394236,-0.017523752313854557,0.027044114156410844,-0.12035116897444276,0.11319191926555483,0.03219814456020688,0.04384067106822766,0.33592625742807625,0.07511539470362721,-0.11502802905890246,0.1794243181793162,-0.7979660753864314,0.7610180714050332
800,7,20,74,504.62273611111215,3.0348824141458333,5.68130705706061,-0.09314564564249395,39.06161554365007,8.734442766656395,-11.438200765585922,22.800814879707143,-62.807462462465594,153.94854354354607,0.8476348299547473,-0.03247555863815965,6.996860018855682,1.5645454631211766,-2.2188742777627586,3.9141439376722533,-13.451766557410066,25.806193991155773,0.0011276590820833653,0.006796033111666988,0.06254881626135259,0.013986340507252863,-0.026285568312132246,0.028540886476298974,-0.1132875182272226,0.14787941424666684,0.06037630519357843,0.22416582942345115,2.043609290635241,0.45696492933105237,-0.8352749562952843,0.956027566682441,-3.4813208931149267,4.688536931452433
800,8,20,71,12280.931451877937,27.51615452634183,64.78475273865124,23.17515649451252,255.47782519142976,57.126578387184516,-47.18334090023042,176.75284637753288,-163.33070422536184,1031.764334898262,0.4676251790587851,0.18125903451875022,1.9015111253499661,0.4251908136254648,-0.3657488156471259,1.300999173764696,-1.2303629958083013,7.529793953048716,-0.0005573703613332981,0.004437257388334004,0.04283620124545956,0.009578465788270872,-0.019331163306344205,0.01821642258367761,-0.07798097493944312,0.07890984904832976,-0.0019068422206767557,0.015887820607058366,0.1543113990154748,0.03450507779016958,-0.06953679468940913,0.0657231102480556,-0.28118902575806826,0.28468994751790333
800,9,20,63,1989.8617958553798,4.288060066474278,19.781254850089056,-18.652336860670857,138.31234917097774,30.92758148739929,-40.83680486521355,80.39931456539166,-236.27243386244277,371.3150617284,0.7221222658920624,-0.9668242833730528,6.486254192269306,1.4503705293257159,-2.1206039715863407,3.5648485033704653,-12.154271629118089,16.23395778176801,0.0030790553271666356,-0.0002669300266671115,0.03120060716955543,0.006976667857039325,-0.01059521367263044,0.016753324326963713,-0.04702568540166663,0.06075543307611131,0.07305481441148375,-0.006194070452487585,0.7172572513246958,0.16038359713166708,-0.2412970359665837,0.3874066647895512,-1.079343033992721,1.407017221150044
