improvement_ticks,improvement_price_units,count
1,100,158431
2,200,25283
3,300,14096
4,400,9298
5,500,6577
6,600,4911
7,700,3338
8,800,2529
9,900,2081
10,1000,1720
11,1100,1376
12,1200,1076
13,1300,770
14,1400,702
15,1500,621
16,1600,491
17,1700,398
18,1800,391
19,1900,321
20,2000,294
21,2100,168
22,2200,167
23,2300,163
24,2400,156
25,2500,151
26,2600,112
27,2700,77
28,2800,114
29,2900,71
30,3000,67
31,3100,76
32,3200,72
33,3300,60
34,3400,53
35,3500,56
36,3600,50
37,3700,47
38,3800,47
39,3900,35
40,4000,36
41,4100,29
42,4200,19
43,4300,21
44,4400,15
45,4500,18
46,4600,14
47,4700,12
48,4800,14
49,4900,21
50,5000,8
51,5100,15
52,5200,15
53,5300,9
54,5400,11
55,5500,8
56,5600,7
57,5700,10
58,5800,7
59,5900,10
60,6000,6
61,6100,11
62,6200,5
63,6300,2
64,6400,4
65,6500,6
66,6600,4
67,6700,6
68,6800,3
69,6900,5
70,7000,8
71,7100,8
72,7200,4
73,7300,6
74,7400,2
75,7500,7
76,7600,5
77,7700,4
78,7800,4
79,7900,1
81,8100,2
82,8200,4
83,8300,1
84,8400,4
85,8500,5
86,8600,2
87,8700,2
88,8800,3
89,8900,4
90,9000,3
91,9100,5
93,9300,3
94,9400,3
95,9500,2
97,9700,5
98,9800,3
99,9900,2
100,10000,3
101,10100,3
102,10200,3
103,10300,2
105,10500,1
106,10600,2
107,10700,1
108,10800,2
109,10900,1
110,11000,2
113,11300,3
114,11400,1
115,11500,2
116,11600,2
117,11700,3
118,11800,3
119,11900,1
120,12000,3
121,12100,2
122,12200,1
123,12300,5
124,12400,3
125,12500,1
126,12600,4
127,12700,1
128,12800,1
129,12900,1
130,13000,1
131,13100,2
132,13200,2
135,13500,1
136,13600,1
137,13700,3
138,13800,1
139,13900,1
140,14000,1
141,14100,1
142,14200,1
143,14300,1
144,14400,1
145,14500,1
146,14600,2
148,14800,2
149,14900,1
150,15000,2
151,15100,1
152,15200,3
153,15300,1
154,15400,1
155,15500,2
157,15700,4
158,15800,2
159,15900,1
163,16300,1
166,16600,2
168,16800,1
169,16900,1
171,17100,1
172,17200,1
174,17400,1
175,17500,1
176,17600,2
177,17700,1
180,18000,2
182,18200,1
183,18300,1
184,18400,2
186,18600,1
188,18800,1
190,19000,1
191,19100,1
192,19200,1
193,19300,1
196,19600,1
198,19800,2
200,20000,1
201,20100,1
203,20300,1
205,20500,2
208,20800,2
210,21000,1
211,21100,1
212,21200,2
214,21400,1
218,21800,1
222,22200,1
223,22300,1
230,23000,1
240,24000,1
241,24100,1
244,24400,1
247,24700,1
249,24900,1
252,25200,1
261,26100,1
262,26200,1
269,26900,1
271,27100,1
273,27300,1
285,28500,1
288,28800,1
289,28900,1
295,29500,1
300,30000,1
302,30200,2
305,30500,1
315,31500,1
318,31800,1
334,33400,1
348,34800,1
499,49900,1
517,51700,1
769,76900,1
825,82500,1
