improvement_ticks,improvement_price_units,count
1,100,179742
2,200,31141
3,300,16695
4,400,10170
5,500,9107
6,600,8736
7,700,6872
8,800,3347
9,900,2534
10,1000,2162
11,1100,1673
12,1200,1492
13,1300,1083
14,1400,1027
15,1500,1338
16,1600,618
17,1700,693
18,1800,526
19,1900,459
20,2000,364
21,2100,367
22,2200,264
23,2300,191
24,2400,182
25,2500,150
26,2600,168
27,2700,129
28,2800,92
29,2900,100
30,3000,98
31,3100,82
32,3200,58
33,3300,61
34,3400,53
35,3500,58
36,3600,44
37,3700,44
38,3800,32
39,3900,28
40,4000,51
41,4100,29
42,4200,31
43,4300,24
44,4400,17
45,4500,22
46,4600,18
47,4700,12
48,4800,20
49,4900,25
50,5000,51
51,5100,16
52,5200,9
53,5300,6
54,5400,11
55,5500,28
56,5600,12
57,5700,13
58,5800,7
59,5900,6
60,6000,11
61,6100,6
62,6200,2
63,6300,5
64,6400,8
65,6500,11
66,6600,10
67,6700,4
68,6800,8
69,6900,4
70,7000,6
71,7100,1
72,7200,9
73,7300,19
74,7400,15
75,7500,4
76,7600,6
77,7700,6
78,7800,4
79,7900,5
80,8000,1
81,8100,3
82,8200,2
83,8300,3
84,8400,7
85,8500,4
86,8600,2
87,8700,3
90,9000,9
91,9100,2
92,9200,7
93,9300,2
94,9400,1
95,9500,5
96,9600,3
97,9700,4
98,9800,1
99,9900,4
100,10000,5
101,10100,4
102,10200,1
104,10400,3
106,10600,2
107,10700,2
108,10800,2
109,10900,1
110,11000,5
111,11100,2
112,11200,1
113,11300,3
114,11400,25
115,11500,4
116,11600,1
117,11700,1
118,11800,4
119,11900,2
120,12000,1
122,12200,2
123,12300,1
125,12500,1
127,12700,1
128,12800,2
129,12900,2
130,13000,3
131,13100,2
132,13200,2
133,13300,2
134,13400,2
135,13500,3
136,13600,1
137,13700,1
138,13800,4
139,13900,1
140,14000,1
141,14100,2
142,14200,4
144,14400,2
147,14700,2
148,14800,2
150,15000,1
152,15200,1
153,15300,3
154,15400,2
155,15500,2
156,15600,1
157,15700,1
159,15900,1
161,16100,2
166,16600,3
170,17000,2
172,17200,1
173,17300,1
177,17700,2
179,17900,1
180,18000,1
182,18200,1
183,18300,1
185,18500,2
186,18600,2
190,19000,1
191,19100,2
193,19300,1
194,19400,2
195,19500,1
196,19600,2
197,19700,1
198,19800,1
201,20100,3
202,20200,1
205,20500,1
206,20600,2
212,21200,1
213,21300,1
216,21600,1
223,22300,1
224,22400,2
225,22500,1
226,22600,1
228,22800,1
231,23100,1
232,23200,2
236,23600,1
239,23900,1
242,24200,1
244,24400,1
245,24500,1
247,24700,1
256,25600,1
261,26100,1
264,26400,1
265,26500,1
271,27100,1
273,27300,1
278,27800,1
282,28200,1
286,28600,1
296,29600,1
297,29700,1
301,30100,1
308,30800,1
311,31100,1
336,33600,1
338,33800,1
339,33900,1
347,34700,1
351,35100,1
373,37300,1
516,51600,1
547,54700,1
571,57100,1
639,63900,1
655,65500,1
4909,490900,1
