assets,background_artifact_count,background_artifacts_sha256,background_model,background_policy_sha256,capacity_threshold,hawkes_activity_scale,local_mm_improvement_probability,local_mm_interval_ms,local_mm_max_improvement_probability,local_mm_quantity_multiplier,local_mm_spread_elasticity,maximum_wall_seconds,median_communication_fraction,median_compute_imbalance,median_max_books_per_rank,median_max_compute_seconds,median_max_orders_per_rank,median_mean_books_per_rank,median_mean_compute_seconds,median_mean_orders_per_rank,median_min_books_per_rank,median_min_compute_seconds,median_min_orders_per_rank,median_orders_per_wall_second,median_wall_seconds,minimum_wall_seconds,parallel_efficiency,ranks,risk_limit_per_asset,shared_mm_mode,shared_quote_quantity,shock_mode,speedup_vs_rank1
1480,31,747967d24e3a7a189a57550fd1a2d362aa52bc12bc55fb3cac88b216992c1a27,queue-reactive-v1,fdef944abbd26ee59252de2edd0d64add75fbd738d9530bf24ff75b17f831d55,0.500000000,0.3,0.25,1000.0,1.0,1.0,0.0,469.379210475,0.645217617,1.903422522,47.000000000,10.906679634,12186969.000000000,46.250000000,5.755674457,6540371.000000000,46.000000000,4.595295698,5462061.000000000,12944133.559942082,16.168859123,16.112243660,nan,32,100.000000000,uncoupled,200,off,nan
1480,31,747967d24e3a7a189a57550fd1a2d362aa52bc12bc55fb3cac88b216992c1a27,queue-reactive-v1,fdef944abbd26ee59252de2edd0d64add75fbd738d9530bf24ff75b17f831d55,0.500000000,0.3,0.25,1000.0,1.0,1.0,0.0,469.289316225,0.987996139,1.896695575,47.000000000,10.649804865,12186973.000000000,46.250000000,5.574079664,6540376.281250000,46.000000000,4.546904197,5462061.000000000,446251.672880844,469.000014384,16.218843251,nan,32,100.000000000,uncoupled,200,on,nan
