improvement_ticks,improvement_price_units,count
1,100,139915
2,200,5513
3,300,1630
4,400,687
5,500,369
6,600,250
7,700,196
8,800,140
9,900,76
10,1000,41
11,1100,31
12,1200,37
13,1300,23
14,1400,36
15,1500,24
16,1600,13
17,1700,11
18,1800,9
19,1900,9
20,2000,5
21,2100,10
22,2200,5
23,2300,2
24,2400,12
25,2500,7
26,2600,4
27,2700,2
28,2800,4
29,2900,5
30,3000,2
31,3100,4
34,3400,2
35,3500,1
36,3600,2
37,3700,3
38,3800,3
39,3900,1
40,4000,3
41,4100,1
42,4200,4
43,4300,2
45,4500,2
46,4600,2
49,4900,1
53,5300,2
55,5500,1
56,5600,1
58,5800,1
60,6000,2
61,6100,1
63,6300,1
65,6500,1
67,6700,1
69,6900,1
70,7000,1
72,7200,1
73,7300,1
77,7700,1
78,7800,1
80,8000,1
81,8100,1
91,9100,1
92,9200,1
104,10400,1
110,11000,1
125,12500,1
200,20000,1
233,23300,1
287,28700,1
