improvement_ticks,improvement_price_units,count
1,100,134886
2,200,4690
3,300,1574
4,400,689
5,500,336
6,600,229
7,700,118
8,800,123
9,900,92
10,1000,84
11,1100,51
12,1200,36
13,1300,27
14,1400,27
15,1500,20
16,1600,22
17,1700,13
18,1800,15
19,1900,11
20,2000,20
21,2100,11
22,2200,6
23,2300,6
24,2400,4
25,2500,3
26,2600,4
27,2700,3
28,2800,7
29,2900,3
30,3000,4
31,3100,4
32,3200,2
33,3300,2
34,3400,2
35,3500,4
36,3600,4
37,3700,2
38,3800,2
40,4000,4
41,4100,2
42,4200,4
43,4300,1
44,4400,1
45,4500,2
46,4600,1
47,4700,5
48,4800,4
49,4900,5
50,5000,3
51,5100,6
52,5200,3
53,5300,1
54,5400,1
56,5600,2
57,5700,2
58,5800,1
60,6000,1
61,6100,1
64,6400,1
65,6500,1
71,7100,1
74,7400,1
82,8200,1
84,8400,1
89,8900,2
108,10800,1
112,11200,1
180,18000,1
236,23600,1
357,35700,1
