improvement_ticks,improvement_price_units,count
1,100,1654689
2,200,179525
3,300,121049
4,400,90177
5,500,68022
6,600,51465
7,700,40346
8,800,32745
9,900,27120
10,1000,23311
11,1100,19909
12,1200,16934
13,1300,14899
14,1400,13364
15,1500,12157
16,1600,10486
17,1700,8764
18,1800,7668
19,1900,6880
20,2000,6140
21,2100,5698
22,2200,5207
23,2300,4631
24,2400,4529
25,2500,5016
26,2600,4102
27,2700,3471
28,2800,2850
29,2900,2665
30,3000,2457
31,3100,2168
32,3200,1987
33,3300,1800
34,3400,1734
35,3500,1626
36,3600,1469
37,3700,1442
38,3800,1402
39,3900,1091
40,4000,1114
41,4100,1023
42,4200,936
43,4300,1008
44,4400,893
45,4500,880
46,4600,859
47,4700,753
48,4800,774
49,4900,757
50,5000,651
51,5100,609
52,5200,602
53,5300,589
54,5400,600
55,5500,490
56,5600,463
57,5700,418
58,5800,427
59,5900,390
60,6000,455
61,6100,346
62,6200,334
63,6300,302
64,6400,317
65,6500,326
66,6600,279
67,6700,256
68,6800,250
69,6900,245
70,7000,239
71,7100,187
72,7200,204
73,7300,186
74,7400,186
75,7500,199
76,7600,184
77,7700,174
78,7800,198
79,7900,145
80,8000,160
81,8100,272
82,8200,185
83,8300,133
84,8400,134
85,8500,136
86,8600,143
87,8700,115
88,8800,98
89,8900,119
90,9000,81
91,9100,90
92,9200,76
93,9300,79
94,9400,79
95,9500,70
96,9600,95
97,9700,75
98,9800,76
99,9900,91
100,10000,119
101,10100,79
102,10200,66
103,10300,77
104,10400,70
105,10500,78
106,10600,78
107,10700,53
108,10800,77
109,10900,80
110,11000,73
111,11100,44
112,11200,71
113,11300,51
114,11400,56
115,11500,95
116,11600,105
117,11700,75
118,11800,70
119,11900,95
120,12000,73
121,12100,81
122,12200,45
123,12300,69
124,12400,48
125,12500,29
126,12600,34
127,12700,32
128,12800,45
129,12900,43
130,13000,32
131,13100,47
132,13200,47
133,13300,28
134,13400,32
135,13500,24
136,13600,33
137,13700,24
138,13800,37
139,13900,31
140,14000,36
141,14100,19
142,14200,38
143,14300,29
144,14400,41
145,14500,30
146,14600,26
147,14700,22
148,14800,28
149,14900,30
150,15000,16
151,15100,29
152,15200,13
153,15300,16
154,15400,24
155,15500,21
156,15600,17
157,15700,14
158,15800,5
159,15900,15
160,16000,17
161,16100,11
162,16200,12
163,16300,8
164,16400,10
165,16500,16
166,16600,11
167,16700,12
168,16800,16
169,16900,5
170,17000,15
171,17100,12
172,17200,13
173,17300,10
174,17400,10
175,17500,16
176,17600,10
177,17700,15
178,17800,13
179,17900,10
180,18000,15
181,18100,14
182,18200,6
183,18300,8
184,18400,13
185,18500,10
186,18600,9
187,18700,8
188,18800,6
189,18900,4
190,19000,4
191,19100,3
192,19200,17
193,19300,10
194,19400,10
195,19500,8
196,19600,10
197,19700,7
198,19800,9
199,19900,12
200,20000,18
201,20100,5
202,20200,4
203,20300,5
204,20400,3
205,20500,7
206,20600,4
207,20700,3
208,20800,4
209,20900,3
210,21000,2
211,21100,3
212,21200,6
213,21300,1
214,21400,5
215,21500,5
216,21600,4
217,21700,7
218,21800,6
219,21900,4
220,22000,5
221,22100,3
222,22200,9
223,22300,5
224,22400,5
225,22500,12
226,22600,6
227,22700,4
228,22800,4
229,22900,5
230,23000,8
231,23100,5
233,23300,3
234,23400,4
235,23500,3
236,23600,7
237,23700,4
238,23800,3
239,23900,6
240,24000,4
241,24100,6
242,24200,3
243,24300,5
244,24400,5
245,24500,5
246,24600,3
247,24700,7
248,24800,2
249,24900,11
250,25000,25
251,25100,2
252,25200,6
253,25300,12
254,25400,3
255,25500,6
256,25600,3
257,25700,3
258,25800,5
259,25900,2
260,26000,3
261,26100,4
262,26200,1
263,26300,3
264,26400,3
265,26500,1
266,26600,6
267,26700,2
268,26800,5
269,26900,7
270,27000,2
271,27100,2
272,27200,4
274,27400,6
275,27500,1
276,27600,2
277,27700,2
278,27800,3
279,27900,3
280,28000,2
282,28200,2
283,28300,4
285,28500,5
286,28600,4
287,28700,3
288,28800,1
289,28900,4
290,29000,1
292,29200,4
294,29400,2
295,29500,5
296,29600,3
297,29700,1
298,29800,4
299,29900,2
300,30000,6
301,30100,1
302,30200,3
303,30300,4
304,30400,2
305,30500,1
307,30700,1
308,30800,2
309,30900,2
310,31000,2
311,31100,1
312,31200,3
313,31300,2
314,31400,3
315,31500,1
316,31600,2
317,31700,2
318,31800,1
320,32000,2
321,32100,2
322,32200,3
323,32300,3
324,32400,4
326,32600,2
327,32700,1
328,32800,1
329,32900,2
330,33000,1
332,33200,3
337,33700,4
339,33900,1
340,34000,1
341,34100,2
342,34200,3
343,34300,2
345,34500,1
346,34600,2
347,34700,2
348,34800,1
349,34900,3
350,35000,3
351,35100,2
357,35700,1
358,35800,1
359,35900,1
360,36000,5
361,36100,4
362,36200,1
363,36300,1
364,36400,2
365,36500,1
370,37000,1
371,37100,3
372,37200,2
373,37300,1
