risk_limit_per_asset,cluster_id,onset_seconds,initial_episode_last_significant_seconds,recovery_seconds,significant_seconds_1_30,early_peak_percent,early_peak_seconds,non_target_symbol_count,baseline_mean_top_depth,baseline_mean_spread_bps,symbol_count
800,0,2.0,19.0,20.0,14,0.14705281842088508,2,131,543.0045952078017,58.78259230358289,146
800,1,2.0,14.0,15.0,13,0.09704389847796072,2,130,1089.4328444444436,51.92087627695175,144
800,2,2.0,9.0,10.0,8,0.19286613082704365,3,172,450.5025977067165,8.471840898838138,191
800,3,2.0,13.0,14.0,13,0.16360858134996442,2,239,606.6639764063223,17.30810993342964,266
800,4,2.0,9.0,10.0,8,0.04236366181606345,3,145,2675.293560919542,63.98867898110761,161
800,5,2.0,14.0,15.0,12,0.14635177981553982,10,176,709.2523164457092,6.967139611917972,196
800,6,2.0,11.0,12.0,10,0.09161286787750868,7,131,1562.646506997458,14.680545064239748,145
800,7,2.0,7.0,8.0,5,0.2625831875511769,7,74,504.62273611111215,3.0348824141458333,82
800,8,2.0,10.0,11.0,9,0.026255162104654606,5,71,12280.931451877936,27.51615452634183,79
800,9,2.0,4.0,5.0,2,0.15736986615801574,10,63,1989.86179585538,4.288060066474278,70
1600,0,2.0,34.0,35.0,23,0.09347990718218789,2,131,543.0045952078017,58.78259230358289,146
1600,1,2.0,24.0,25.0,23,0.06040163442164538,3,130,1089.4328444444436,51.92087627695175,144
1600,2,2.0,20.0,21.0,14,0.12944164795724483,10,172,450.5025977067165,8.471840898838138,191
1600,3,2.0,24.0,25.0,22,0.10421878566366802,2,239,606.6639764063223,17.30810993342964,266
1600,4,2.0,23.0,24.0,19,0.02774459815006859,2,145,2675.293560919542,63.98867898110761,161
1600,5,2.0,7.0,8.0,6,0.09208516256818865,7,176,709.2523164457092,6.967139611917972,196
1600,6,2.0,15.0,16.0,11,0.04425537257811798,3,131,1562.646506997458,14.680545064239748,145
1600,7,2.0,5.0,6.0,3,0.12337549105675169,5,74,504.62273611111215,3.0348824141458333,82
1600,8,2.0,9.0,10.0,9,0.0377088913550364,10,71,12280.931451877936,27.51615452634183,79
1600,9,,,,0,0.16924583195168647,5,63,1989.86179585538,4.288060066474278,70
