risk_limit_per_asset,cluster_id,relative_depth_effect_percent_mean,relative_depth_effect_percent_lower,relative_depth_effect_percent_upper,relative_depth_effect_percent_n,spread_effect_bps_mean,spread_effect_bps_lower,spread_effect_bps_upper,spread_effect_bps_n
800,0,0.11977803524287296,0.09380476338553839,0.14575130710020753,20,0.005097354609999982,-0.005663815658513879,0.015858524878513844,20
800,1,0.08374167986549658,0.06320532093499476,0.1042780387959984,20,0.0,0.0,0.0,20
800,2,0.15687693752869095,0.11176227179364312,0.20199160326373877,20,0.00031947592999999943,-0.00018642060108117357,0.0008253724610811724,20
800,3,0.1323242565437865,0.09659865361560493,0.16804985947196804,20,0.00115462351999998,-0.0005230484697850476,0.0028322955097850075,20
800,4,0.03312002880040391,0.02537032767803737,0.04086972992277046,20,0.0015025167200000311,-0.0016422507749600337,0.004647284214960096,20
800,5,0.12383767976707942,0.08582233650092258,0.16185302303323626,20,0.0008336175200000008,-0.0005441456355578774,0.002211380675557879,20
800,6,0.0709381426781758,0.057407712212625035,0.08446857314372658,20,6.305875000000685e-05,-0.0015085951319990512,0.001634712631999065,20
800,7,0.03845699003257012,-0.0401442553681804,0.11705823543332064,20,-0.0023116564299999888,-0.006873668796233171,0.002250355936233193,20
800,8,0.020685677227684527,0.012492381961838482,0.028878972493530573,20,-0.002420735010000037,-0.008682798809500595,0.0038413287895005216,20
800,9,0.10305858955308511,0.04207705131672353,0.1640401277894467,20,-0.0007105803600000015,-0.00162568223414113,0.00020452151414112696,20
1600,0,0.07329923397351054,0.05659798912060601,0.09000047882641507,20,-0.0009414012900001012,-0.0029117541899703133,0.0010289516099701106,20
1600,1,0.05217925584775289,0.04250371185627796,0.06185479983922782,20,-0.000866250870000016,-0.0026793139409100495,0.0009468122009100175,20
1600,2,0.10985668890995486,0.08266513482504817,0.13704824299486154,20,0.00047329288999999443,-5.7043278024999835e-05,0.0010036290580249887,20
1600,3,0.086509194241464,0.07173218986751159,0.1012861986154164,20,-0.0007995624599999652,-0.0024787076509566056,0.0008795827309566752,20
1600,4,0.01490445030979562,-0.008432678040495141,0.03824157866008638,20,0.007073386389999996,-0.007731211324269995,0.021877984104269988,20
1600,5,0.07006482851105458,0.034486338940253054,0.10564331808185612,20,0.001988916729999994,-0.00028120225186864436,0.004259035711868632,20
1600,6,0.039729999062829875,0.030009032792655637,0.04945096533300411,20,0.00224490742000004,-0.004646552539844438,0.009136367379844518,20
1600,7,0.08642486816022114,0.028270461358378657,0.14457927496206363,20,-9.441084000000547e-05,-0.0016242961042966556,0.0014354744242966449,20
1600,8,0.015217301266264078,0.0029791479996112667,0.02745545453291689,20,-0.0016348818400000198,-0.005056689531120062,0.0017869258511200219,20
1600,9,-0.07777831583990903,-0.24576082076246625,0.0902041890826482,20,0.0008043668899999898,-0.005474333572244658,0.007083067352244637,20
