"risk_limit_per_asset","cluster_id","relative_depth_effect_percent_mean","relative_depth_effect_percent_lower","relative_depth_effect_percent_upper","relative_depth_effect_percent_n","spread_effect_bps_mean","spread_effect_bps_lower","spread_effect_bps_upper","spread_effect_bps_n","onset_seconds","initial_episode_last_significant_seconds","recovery_seconds","significant_seconds_1_30","early_peak_percent","early_peak_seconds","non_target_symbol_count","baseline_mean_top_depth","baseline_mean_spread_bps","symbol_count"
1600,0,0.0732992339735105,0.056597989120606,0.0900004788264151,20,-0.000941401290000101,-0.00291175418997031,0.00102895160997011,20,2,34,35,23,0.0934799071821879,2,131,543.004595207802,58.7825923035829,146
1600,1,0.0521792558477529,0.042503711856278,0.0618547998392278,20,-0.000866250870000016,-0.00267931394091005,0.000946812200910017,20,2,24,25,23,0.0604016344216454,3,130,1089.43284444444,51.9208762769518,144
1600,2,0.109856688909955,0.0826651348250482,0.137048242994862,20,0.000473292889999994,-5.70432780249998e-05,0.00100362905802499,20,2,20,21,14,0.129441647957245,10,172,450.502597706716,8.47184089883814,191
1600,3,0.086509194241464,0.0717321898675116,0.101286198615416,20,-0.000799562459999965,-0.00247870765095661,0.000879582730956675,20,2,24,25,22,0.104218785663668,2,239,606.663976406322,17.3081099334296,266
1600,4,0.0149044503097956,-0.00843267804049514,0.0382415786600864,20,0.00707338639,-0.00773121132427,0.02187798410427,20,2,23,24,19,0.0277445981500686,2,145,2675.29356091954,63.9886789811076,161
1600,5,0.0700648285110546,0.0344863389402531,0.105643318081856,20,0.00198891672999999,-0.000281202251868644,0.00425903571186863,20,2,7,8,6,0.0920851625681886,7,176,709.252316445709,6.96713961191797,196
1600,6,0.0397299990628299,0.0300090327926556,0.0494509653330041,20,0.00224490742000004,-0.00464655253984444,0.00913636737984452,20,2,15,16,11,0.044255372578118,3,131,1562.64650699746,14.6805450642397,145
1600,7,0.0864248681602211,0.0282704613583787,0.144579274962064,20,-9.44108400000055e-05,-0.00162429610429666,0.00143547442429664,20,2,5,6,3,0.123375491056752,5,74,504.622736111112,3.03488241414583,82
1600,8,0.0152173012662641,0.00297914799961127,0.0274554545329169,20,-0.00163488184000002,-0.00505668953112006,0.00178692585112002,20,2,9,10,9,0.0377088913550364,10,71,12280.9314518779,27.5161545263418,79
1600,9,-0.077778315839909,-0.245760820762466,0.0902041890826482,20,0.00080436688999999,-0.00547433357224466,0.00708306735224464,20,NA,NA,NA,0,0.169245831951686,5,63,1989.86179585538,4.28806006647428,70
800,0,0.119778035242873,0.0938047633855384,0.145751307100208,20,0.00509735460999998,-0.00566381565851388,0.0158585248785138,20,2,19,20,14,0.147052818420885,2,131,543.004595207802,58.7825923035829,146
800,1,0.0837416798654966,0.0632053209349948,0.104278038795998,20,0,0,0,20,2,14,15,13,0.0970438984779607,2,130,1089.43284444444,51.9208762769518,144
800,2,0.156876937528691,0.111762271793643,0.201991603263739,20,0.000319475929999999,-0.000186420601081174,0.000825372461081172,20,2,9,10,8,0.192866130827044,3,172,450.502597706716,8.47184089883814,191
800,3,0.132324256543786,0.0965986536156049,0.168049859471968,20,0.00115462351999998,-0.000523048469785048,0.00283229550978501,20,2,13,14,13,0.163608581349964,2,239,606.663976406322,17.3081099334296,266
800,4,0.0331200288004039,0.0253703276780374,0.0408697299227705,20,0.00150251672000003,-0.00164225077496003,0.0046472842149601,20,2,9,10,8,0.0423636618160634,3,145,2675.29356091954,63.9886789811076,161
800,5,0.123837679767079,0.0858223365009226,0.161853023033236,20,0.000833617520000001,-0.000544145635557877,0.00221138067555788,20,2,14,15,12,0.14635177981554,10,176,709.252316445709,6.96713961191797,196
800,6,0.0709381426781758,0.057407712212625,0.0844685731437266,20,6.30587500000068e-05,-0.00150859513199905,0.00163471263199907,20,2,11,12,10,0.0916128678775087,7,131,1562.64650699746,14.6805450642397,145
800,7,0.0384569900325701,-0.0401442553681804,0.117058235433321,20,-0.00231165642999999,-0.00687366879623317,0.00225035593623319,20,2,7,8,5,0.262583187551177,7,74,504.622736111112,3.03488241414583,82
800,8,0.0206856772276845,0.0124923819618385,0.0288789724935306,20,-0.00242073501000004,-0.0086827988095006,0.00384132878950052,20,2,10,11,9,0.0262551621046546,5,71,12280.9314518779,27.5161545263418,79
800,9,0.103058589553085,0.0420770513167235,0.164040127789447,20,-0.000710580360000002,-0.00162568223414113,0.000204521514141127,20,2,4,5,2,0.157369866158016,10,63,1989.86179585538,4.28806006647428,70
