distance_ticks,count
0,3855
1,1236
2,414
3,446
4,531
5,268
6,271
7,237
8,209
9,54
10,37
11,67
12,48
13,46
14,26
15,22
16,16
17,25
18,17
19,34
20,13
21,5
22,7
23,3
24,3
25,3
26,1
27,4
28,6
29,4
30,3
31,1
32,3
33,5
34,4
35,2
36,2
37,1
38,1
39,3
41,1
42,10
44,15
46,6
47,1
50,2
51,1
54,1
56,1
57,2
59,1
60,5
61,5
62,2
65,19
66,57
67,9
68,19
70,2
71,1
85,1
87,1
88,1
91,2
93,1
113,1
