improvement_ticks,improvement_price_units,count
1,100,242370
2,200,19575
3,300,7463
4,400,3601
5,500,2024
6,600,1458
7,700,869
8,800,496
9,900,387
10,1000,248
11,1100,162
12,1200,115
13,1300,98
14,1400,82
15,1500,64
16,1600,51
17,1700,46
18,1800,66
19,1900,76
20,2000,39
21,2100,30
22,2200,33
23,2300,20
24,2400,10
25,2500,28
26,2600,12
27,2700,12
28,2800,16
29,2900,16
30,3000,15
31,3100,8
32,3200,4
33,3300,12
34,3400,7
35,3500,8
36,3600,12
37,3700,7
38,3800,15
39,3900,9
40,4000,6
41,4100,9
42,4200,6
43,4300,3
44,4400,11
45,4500,10
46,4600,7
47,4700,3
48,4800,5
49,4900,5
50,5000,7
51,5100,3
52,5200,5
53,5300,4
54,5400,6
55,5500,2
56,5600,3
57,5700,3
58,5800,4
59,5900,9
60,6000,3
61,6100,9
62,6200,2
63,6300,5
64,6400,5
65,6500,1
67,6700,3
68,6800,4
70,7000,3
71,7100,2
72,7200,2
73,7300,1
74,7400,2
75,7500,3
76,7600,3
77,7700,4
78,7800,5
79,7900,4
80,8000,3
81,8100,5
83,8300,2
84,8400,5
85,8500,1
86,8600,2
87,8700,7
88,8800,2
89,8900,1
90,9000,1
91,9100,1
92,9200,1
93,9300,2
94,9400,1
95,9500,2
96,9600,4
97,9700,1
98,9800,4
99,9900,2
100,10000,2
101,10100,1
102,10200,4
103,10300,2
104,10400,2
106,10600,2
107,10700,1
108,10800,1
109,10900,3
110,11000,2
111,11100,1
114,11400,1
115,11500,1
120,12000,1
121,12100,2
122,12200,1
123,12300,2
126,12600,2
127,12700,1
128,12800,1
129,12900,2
130,13000,2
141,14100,2
144,14400,1
145,14500,2
146,14600,1
148,14800,2
149,14900,1
150,15000,1
151,15100,1
156,15600,1
157,15700,1
159,15900,1
161,16100,2
162,16200,1
164,16400,1
169,16900,1
170,17000,1
171,17100,2
176,17600,1
184,18400,1
187,18700,1
189,18900,1
191,19100,1
194,19400,1
195,19500,1
205,20500,1
221,22100,1
226,22600,1
227,22700,1
228,22800,1
247,24700,1
290,29000,1
307,30700,1
336,33600,2
342,34200,1
367,36700,1
381,38100,1
