symbol,enabled,value_threshold_bps,value_depth_participation,value_gap_elasticity,value_max_depth_participation,value_trigger_mode,value_maximum_news_rechecks,cluster_id,candidate_id
AERI,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AFIN,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
AFMD,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
AGEN,1,5,0.20000000000000001,1,0.75,news_impulse,2,8,value_5bps_20pct_eta100_cap075_r2
AGFS,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
AGIO,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
AGLE,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
AGNC,1,5,0.20000000000000001,1,0.75,news_impulse,2,8,value_5bps_20pct_eta100_cap075_r2
AGTC,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
AGYS,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AIMC,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AIMT,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
AINV,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
AIRG,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AKAM,1,5,0.20000000000000001,1,0.75,news_impulse,16,7,value_5bps_20pct_eta100_cap075_r16
AKBA,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
AKCA,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
AKRX,1,5,0.20000000000000001,1,0.75,news_impulse,2,8,value_5bps_20pct_eta100_cap075_r2
AKTS,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
ALBO,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
ALDX,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
ALGN,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
ALGT,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
ALLK,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
ALLO,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
ALNY,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
ALRM,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
ALSK,1,5,0.20000000000000001,1,0.75,news_impulse,2,8,value_5bps_20pct_eta100_cap075_r2
ALT,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
ALTM,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
ALTR,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
ALXN,1,5,0.20000000000000001,1,0.75,news_impulse,16,7,value_5bps_20pct_eta100_cap075_r16
AMAG,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
AMAL,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
AMAT,1,5,0.20000000000000001,1,0.75,news_impulse,16,9,value_5bps_20pct_eta100_cap075_r16
AMBC,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
AMCX,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
AMD,1,5,0.20000000000000001,1,0.75,news_impulse,16,9,value_5bps_20pct_eta100_cap075_r16
AMED,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
AMEH,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AMGN,1,5,0.20000000000000001,1,0.75,news_impulse,16,7,value_5bps_20pct_eta100_cap075_r16
AMKR,1,5,0.20000000000000001,1,0.75,news_impulse,2,8,value_5bps_20pct_eta100_cap075_r2
AMOT,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
AMPH,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AMSC,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
AMSF,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
AMSWA,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AMTB,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
AMTD,1,5,0.20000000000000001,1,0.75,news_impulse,16,9,value_5bps_20pct_eta100_cap075_r16
AMWD,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
AMZN,1,5,0.20000000000000001,1,0.75,news_impulse,16,7,value_5bps_20pct_eta100_cap075_r16
ANAB,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
ANAT,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
ANDE,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
ANGI,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
ANGO,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
ANIK,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
ANIP,1,5,0.20000000000000001,1,0.75,news_impulse,16,0,value_5bps_20pct_eta100_cap075_r16
ANIX,1,10,0.20000000000000001,0,1,news_impulse,16,1,value_10bps_20pct_r16
ANSS,1,5,0.20000000000000001,1,0.75,news_impulse,16,7,value_5bps_20pct_eta100_cap075_r16
AOBC,1,5,0.050000000000000003,0.5,0.10000000000000001,news_impulse,16,6,value_5bps_5pct_eta050_cap010_r16
AOSL,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
APEI,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
APLS,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
APOG,1,5,0.20000000000000001,1,0.75,news_impulse,8,3,value_5bps_20pct_eta100_cap075_r8
APPF,1,5,0.20000000000000001,1,0.75,news_impulse,2,2,value_5bps_20pct_eta100_cap075_r2
APPN,1,5,0.20000000000000001,1,0.75,news_impulse,16,5,value_5bps_20pct_eta100_cap075_r16
APPS,1,5,0.20000000000000001,1,0.75,news_impulse,2,8,value_5bps_20pct_eta100_cap075_r2
APTO,1,5,0.20000000000000001,1,0.75,news_impulse,2,4,value_5bps_20pct_eta100_cap075_r2
