book_id,symbol,data_dir,hawkes_rates_file,fundamental_price_ticks,fundamental_volatility_bps_sqrt_second,fundamental_move_probability_per_second,fundamental_conditional_kurtosis,initial_best_bid_ticks,initial_best_ask_ticks,initial_best_bid_depth,initial_best_ask_depth,beta,basket_weight,market_maker_quote_quantity,target_spread_ticks,quote_improvement_probability,target_mean_bid_depth,target_mean_ask_depth,fundamental_log_variance_persistence,fundamental_log_variance_std,fundamental_order_flow_coupling
19,ACLS,data/empirical/pooled/pooled_five_2019_sessions_acls,data/empirical/pooled/pooled_five_2019_sessions_acls/hawkes_rates_acls_pooled_five_2019_sessions.csv,227350.0,2.141801644981614,0.040890636351980855,50.046530717635484,216000,238700,100,84,0.87777777777777777,0.0,50,5,0.35884725256259453,214.72702564102565,161.7493846153846,0.94999999999999996,0.25,0.42535994603367877
20,ACMR,data/empirical/pooled/pooled_five_2019_sessions_acmr,data/empirical/pooled/pooled_five_2019_sessions_acmr/hawkes_rates_acmr_pooled_five_2019_sessions.csv,366700.0,3.0327149944761493,0.018368306337877689,40.903710162763943,364400,369000,1036,40,0.69777777777777783,0.0,50,11,0.48127453941407428,295.45083760683758,236.27921367521367,0.94999999999999996,0.25,0.42535994603367877
21,ACNB,data/empirical/pooled/pooled_five_2019_sessions_acnb,data/empirical/pooled/pooled_five_2019_sessions_acnb/hawkes_rates_acnb_pooled_five_2019_sessions.csv,320650.0,1.6052113255764859,0.0027351596222060771,12.485841531070463,285500,355800,100,100,1.6055555555555556,0.0,50,64,0.23102866779089376,170.39813675213674,119.852,0.94999999999999996,0.25,0.0096468091552598823
22,ACOR,data/empirical/pooled/pooled_five_2019_sessions_acor,data/empirical/pooled/pooled_five_2019_sessions_acor/hawkes_rates_acor_pooled_five_2019_sessions.csv,21100.0,3.6009092525097448,0.029112355228855934,58.982483888128769,20800,21400,1,100,0.29577777777777775,0.0,50,3,0.164449697000176,1412.4434017094015,2314.0252905982907,0.94999999999999996,0.25,0.36419212403997098
23,ACRS,data/empirical/pooled/pooled_five_2019_sessions_acrs,data/empirical/pooled/pooled_five_2019_sessions_acrs/hawkes_rates_acrs_pooled_five_2019_sessions.csv,14150.0,3.6435236969513056,0.01554767297747767,40.347735292590386,13600,14700,80,100,0.084222222222222226,0.0,50,2,0.17545399681790749,1056.5526410256412,809.03116239316239,0.94999999999999996,0.25,0.36419212403997098
24,ACRX,data/empirical/pooled/pooled_five_2019_sessions_acrx,data/empirical/pooled/pooled_five_2019_sessions_acrx/hawkes_rates_acrx_pooled_five_2019_sessions.csv,17450.0,2.805302250680799,0.0059404248044788244,5.7110830350014803,17200,17700,250,300,0.10533333333333333,0.0,100,1,0.042727991475026643,3838.5148034188037,3192.5785726495728,0.94999999999999996,0.25,0.14684855564149249
25,ACTG,data/empirical/pooled/pooled_five_2019_sessions_actg,data/empirical/pooled/pooled_five_2019_sessions_actg/hawkes_rates_actg_pooled_five_2019_sessions.csv,23550.0,1.5926822980188695,0.0025129279029018335,21.27157610636279,20900,26200,100,100,0.12577777777777777,0.0,50,1,0.13718868720979316,419.5716666666666,1599.1371196581197,0.94999999999999996,0.1222182091484173,0
26,ADBE,data/empirical/pooled/pooled_five_2019_sessions_adbe,data/empirical/pooled/pooled_five_2019_sessions_adbe/hawkes_rates_adbe_pooled_five_2019_sessions.csv,3503450.0,1.0296586979666753,0.31280823966836191,87.085533067837829,3496900,3510000,12,87,12.122222222222222,0.0,50,11,0.52092952774856038,139.21961538461537,140.94636752136753,0.94999999999999996,0.11621735476962097,0
27,ADES,data/empirical/pooled/pooled_five_2019_sessions_ades,data/empirical/pooled/pooled_five_2019_sessions_ades/hawkes_rates_ades_pooled_five_2019_sessions.csv,109100.0,1.7610648238490523,0.021941108594384376,23.60826713593887,106800,111400,100,151,0.52911111111111109,0.0,50,4,0.35333163135052337,598.70447863247864,333.02205982905986,0.94999999999999996,0.1222182091484173,0
28,ADI,data/empirical/pooled/pooled_five_2019_sessions_adi,data/empirical/pooled/pooled_five_2019_sessions_adi/hawkes_rates_adi_pooled_five_2019_sessions.csv,1133950.0,1.1817263433639229,0.2922945425018163,143.70116024020621,1105600,1162300,110,110,4.9124444444444446,0.0,50,4,0.29498199224458327,173.31829059829062,172.48795726495729,0.94999999999999996,0.11621735476962097,0
29,ADIL,data/empirical/pooled/pooled_five_2019_sessions_adil,data/empirical/pooled/pooled_five_2019_sessions_adil/hawkes_rates_adil_pooled_five_2019_sessions.csv,18200.0,6.2167145544198563,0.006675498952946707,25.831795139724999,15300,21100,100,100,0.10822222222222222,0.0,50,7,0.56784968684759918,425.9725299145299,1267.8767094017094,0.94999999999999996,0.25,0.36419212403997098
30,ADMA,data/empirical/pooled/pooled_five_2019_sessions_adma,data/empirical/pooled/pooled_five_2019_sessions_adma/hawkes_rates_adma_pooled_five_2019_sessions.csv,41050.0,4.3399511293555051,0.016137441771015858,12.125698863635209,40100,42000,100,1,0.15688888888888888,0.0,50,2,0.39197705041384501,633.43801709401703,598.19483760683761,0.94999999999999996,0.25,0.36419212403997098
31,ADMS,data/empirical/pooled/pooled_five_2019_sessions_adms,data/empirical/pooled/pooled_five_2019_sessions_adms/hawkes_rates_adms_pooled_five_2019_sessions.csv,50550.0,2.6958205564912383,0.02184708748237104,19.634706038654379,48800,52300,500,4,0.25466666666666665,0.0,50,2,0.2048269447300142,382.64519658119656,481.25663247863247,0.94999999999999996,0.25,0.36419212403997098
32,ADP,data/empirical/pooled/pooled_five_2019_sessions_adp,data/empirical/pooled/pooled_five_2019_sessions_adp/hawkes_rates_adp_pooled_five_2019_sessions.csv,1693050.0,1.1110003377607012,0.21800076926364373,155.64130162340965,1687900,1698200,159,52,7.0377777777777775,0.0,50,6,0.42912605974170032,157.02007692307694,166.75256410256412,0.94999999999999996,0.11621735476962097,0
33,ADSK,data/empirical/pooled/pooled_five_2019_sessions_adsk,data/empirical/pooled/pooled_five_2019_sessions_adsk/hawkes_rates_adsk_pooled_five_2019_sessions.csv,1985600.0,1.2169860792734128,0.23082182999273476,101.15716507415839,1985000,1986200,78,14,7.0137777777777774,0.0,50,9,0.45754443112327609,127.44697435897436,125.80815384615384,0.94999999999999996,0.11621735476962097,0
34,ADTN,data/empirical/pooled/pooled_five_2019_sessions_adtn,data/empirical/pooled/pooled_five_2019_sessions_adtn/hawkes_rates_adtn_pooled_five_2019_sessions.csv,96900.0,1.2820762386425606,0.021949655968203769,24.39795922688263,92000,101800,100,100,0.51533333333333331,0.0,50,2,0.20226678291194419,336.85158974358973,311.52838461538465,0.94999999999999996,0.1222182091484173,0
35,ADUS,data/empirical/pooled/pooled_five_2019_sessions_adus,data/empirical/pooled/pooled_five_2019_sessions_adus/hawkes_rates_adus_pooled_five_2019_sessions.csv,963600.0,2.4308375741425428,0.077934954485234409,75.326593172354706,884300,1042900,100,100,3.7682222222222221,0.0,50,27,0.67835499140712152,125.07889743589742,108.92833333333333,0.94999999999999996,0.25,0.54198644623863046
