symbol,cluster_id
LMAT,3
LMNR,3
LMNX,3
LNDC,3
LNT,9
LNTH,3
LOB,3
LOCO,6
LOGI,5
LOGM,5
LONE,4
LOOP,1
LOPE,2
LORL,3
LOVE,1
LPLA,5
LPSN,5
LQDA,1
LQDT,1
LRCX,7
LSCC,5
LSTR,2
LSXMA,5
LSXMK,5
LTRPA,6
LTRX,4
LULU,7
LUNA,1
LXRX,8
LYTS,6
MACK,4
MANH,2
MANT,2
MAR,7
MASI,2
MAT,8
MATW,3
MBII,4
MBIN,3
MBIO,4
MBOT,1
MBUU,3
MBWM,3
MCBC,6
MCFT,3
MCHP,7
MCHX,6
MCRB,4
MCRI,0
MDB,2
MDCA,4
MDGL,0
MDLZ,9
MDRX,8
MEDP,2
MEET,8
MEIP,4
MELI,2
MEOH,5
MERC,6
MESA,3
METC,4
MFIN,1
MGEE,2
MGI,4
MGLN,2
MGNX,3
MGPI,2
MGRC,0
MGTA,1
MIDD,2
MIK,8
MINI,3
MITK,6
MKSI,2
MKTX,2
MLAB,0
MLHR,5
MMSI,5
MNKD,8
MNLO,1
MNOV,3
MNRO,2
MNST,9
MNTA,3
MNTX,1
MOBL,6
MOFG,0
MORN,2
MOTS,4
MPAA,3
MPWR,2
MRAM,1
MRCC,6
MRCY,2
MRKR,4
MRLN,0
MRNA,5
MRNS,4
MRSN,1
MRTN,3
MRTX,2
MRUS,1
MRVL,9
MSBI,3
MSEX,0
MSFT,9
MSON,0
MSTR,0
MTBC,4
MTCH,7
MTEM,1
MTRX,3
MTSC,2
MTSI,5
MU,9
MVBF,0
MXIM,9
MYGN,5
MYOK,2
MYRG,0
NATH,0
NATI,5
NATR,1
NAVI,8
NBEV,8
NBIX,2
NBN,0
NBTB,3
NCBS,0
NCSM,1
NDAQ,7
NDLS,6
NDSN,2
NEO,5
NEOG,2
NEOS,4
NERV,1
NEWT,3
NFBK,3
NFLX,7
NGHC,3
NHTC,1
NK,4
NKSH,0
NKTR,5
NLNK,4
NMIH,5
NMRK,6
NNBR,6
NOVT,2
NRC,0
NRIM,0
NSIT,2
NSTG,3
NTAP,9
NTCT,5
NTGN,4
NTGR,5
NTLA,3
NTNX,9
NTRA,5
NTRS,7
NUAN,9
NUVA,2
NVDA,7
NVEC,0
NVEE,0
NWBI,6
NWL,9
NWLI,0
NWS,6
NWSA,8
NXGN,6
NXPI,7
NXST,2
NYMT,8
NYMX,4
OBNK,0
OCFC,5
OCSI,6
OCSL,8
OCUL,4
ODFL,7
ODP,8
ODT,0
OFIX,0
OKTA,7
OLED,2
OLLI,5
OMCL,2
OMER,3
OMEX,1
ON,9
ONB,6
OPB,3
OPBK,1
OPK,8
OPNT,1
OPRX,1
OPTN,1
ORBC,4
ORGS,4
ORLY,7
ORMP,4
OSBC,6
OSIS,2
OSPN,3
OSTK,4
OSUR,6
OTEX,5
OTIC,4
OTTR,2
OVID,4
OXLC,6
OXSQ,4
OZK,5
PAAS,9
PACB,8
PACW,5
PAHC,3
PATK,2
PAYX,9
PBCT,9
PBPB,6
PBYI,1
PCAR,7
PCH,5
PCOM,3
PCRX,5
PCSB,3
PCTI,6
PCTY,2
PCYG,1
PCYO,6
PDCE,5
PDCO,5
PDFS,3
PDLI,8
PEBO,3
PEGA,2
PEGI,5
PENN,5
PEP,9
PETQ,3
PETS,5
PFBC,2
PFBI,1
PFG,5
PFIE,4
PFLT,6
PFPT,2
PFSW,1
PGC,3
PGNX,8
PI,3
PICO,3
PINC,5
PIRS,4
PKOH,0
PLAB,6
PLAY,5
PLCE,2
PLPC,0
PLUG,8
PLUS,0
PLXS,2
PMBC,3
PMD,3
PNFP,5
PNNT,6
PODD,2
POOL,2
POWI,2
POWL,0
PPBI,5
PPC,5
PRAA,5
PRAH,2
PRFT,5
PRGS,5
PRGX,1
PRIM,3
PRMW,6
PRPL,1
PRSC,0
PRTK,4
PS,5
PSEC,8
PSMT,2
PTC,5
PTCT,2
PTE,4
PTEN,9
PTGX,1
PTLA,5
PTVCB,3
PUB,0
PVAC,3
PXLW,4
PXS,4
PYPL,9
PZZA,5
QADA,0
QCOM,9
QCRH,0
QDEL,2
QNST,6
QRTEA,8
QRVO,7
QTRX,0
RAIL,4
RARE,2
RARX,3
RAVN,3
RBB,3
RBBN,4
RBCAA,0
RCII,5
RCKY,0
RCM,6
RDFN,5
RDI,3
RDNT,3
RDUS,3
RDVT,1
RECN,3
REFR,4
REG,5
REGI,5
REGN,7
REPH,3
REPL,0
RESN,4
RETA,2
RFIL,8
RGEN,2
RGLD,2
RGNX,2
RIBT,4
RIGL,8
RILY,3
RIOT,4
RMBS,6
RMNI,1
RMR,0
RMTI,4
RNET,1
RNST,5
ROAD,1
ROCK,3
ROIC,6
ROKU,7
ROLL,2
ROSE,4
ROST,7
RP,5
RPD,2
RRGB,3
RRR,5
RTIX,4
RTRX,3
RUBY,1
RUN,5
RUSHA,2
RUTH,3
RVNC,3
RVSB,3
RYTM,0
SABR,9
SAFM,2
SAFT,2
SAGE,2
SAIA,2
SAMG,1
SANM,5
SASR,3
SATS,5
SBAC,7
SBCF,3
SBGI,5
SBLK,6
SBNY,2
SBPH,4
SBRA,6
SBSI,3
