event_type,observed_count,observed_rate_per_second,stationary_target_rate,configured_mu,stationary_reconstructed_rate
limit_buy,18315,0.15653846153846154,0.1975733289167463,0.6454062077947047,0.19757332891674634
limit_sell,26090,0.22299145299145298,0.18195658561316824,0.5943915130030163,0.18195658561316827
market_buy,753,0.006435897435897436,0.006517567002165765,0.0212907188737415,0.006517567002165765
market_sell,988,0.008444444444444444,0.008362774878176115,0.027318397935375313,0.008362774878176115
cancel_bid,17367,0.14843589743589744,0.34352845563698714,1.1221929550808247,0.34352845563698714
cancel_ask,25463,0.21763247863247864,0.3163604740018558,1.033444215072729,0.3163604740018558
