improvement_ticks,improvement_price_units,count
1,100,1582038
2,200,225198
3,300,132844
4,400,87284
5,500,62465
6,600,45729
7,700,34854
8,800,27421
9,900,22412
10,1000,18828
11,1100,15104
12,1200,13157
13,1300,11103
14,1400,9967
15,1500,8893
16,1600,7531
17,1700,6577
18,1800,5816
19,1900,5085
20,2000,4691
21,2100,4060
22,2200,3764
23,2300,3385
24,2400,3607
25,2500,3133
26,2600,2358
27,2700,2034
28,2800,1950
29,2900,1745
30,3000,1674
31,3100,1403
32,3200,1290
33,3300,1232
34,3400,1113
35,3500,1052
36,3600,895
37,3700,850
38,3800,773
39,3900,737
40,4000,694
41,4100,656
42,4200,643
43,4300,545
44,4400,504
45,4500,482
46,4600,454
47,4700,418
48,4800,405
49,4900,462
50,5000,399
51,5100,313
52,5200,324
53,5300,299
54,5400,281
55,5500,316
56,5600,382
57,5700,221
58,5800,206
59,5900,185
60,6000,208
61,6100,186
62,6200,161
63,6300,186
64,6400,468
65,6500,156
66,6600,166
67,6700,138
68,6800,162
69,6900,121
70,7000,156
71,7100,109
72,7200,113
73,7300,106
74,7400,104
75,7500,96
76,7600,117
77,7700,101
78,7800,94
79,7900,87
80,8000,82
81,8100,74
82,8200,67
83,8300,62
84,8400,182
85,8500,50
86,8600,59
87,8700,63
88,8800,46
89,8900,52
90,9000,79
91,9100,81
92,9200,174
93,9300,38
94,9400,55
95,9500,50
96,9600,35
97,9700,52
98,9800,43
99,9900,43
100,10000,53
101,10100,39
102,10200,21
103,10300,33
104,10400,32
105,10500,20
106,10600,28
107,10700,27
108,10800,31
109,10900,26
110,11000,36
111,11100,33
112,11200,26
113,11300,26
114,11400,30
115,11500,22
116,11600,19
117,11700,24
118,11800,11
119,11900,17
120,12000,25
121,12100,15
122,12200,17
123,12300,28
124,12400,21
125,12500,19
126,12600,20
127,12700,17
128,12800,11
129,12900,16
130,13000,20
131,13100,17
132,13200,15
133,13300,7
134,13400,13
135,13500,14
136,13600,8
137,13700,8
138,13800,12
139,13900,13
140,14000,14
141,14100,8
142,14200,16
143,14300,4
144,14400,13
145,14500,20
146,14600,11
147,14700,15
148,14800,8
149,14900,10
150,15000,20
151,15100,8
152,15200,3
153,15300,11
154,15400,5
155,15500,5
156,15600,9
157,15700,4
158,15800,4
159,15900,3
160,16000,13
161,16100,6
162,16200,13
163,16300,6
164,16400,11
165,16500,10
166,16600,9
167,16700,2
168,16800,7
169,16900,7
170,17000,5
171,17100,8
172,17200,7
173,17300,7
174,17400,8
175,17500,5
176,17600,5
177,17700,7
178,17800,1
179,17900,8
180,18000,5
181,18100,6
182,18200,7
183,18300,5
184,18400,2
185,18500,7
186,18600,6
187,18700,4
188,18800,7
189,18900,7
190,19000,4
191,19100,5
192,19200,3
193,19300,2
194,19400,2
195,19500,3
196,19600,3
197,19700,4
198,19800,3
199,19900,2
200,20000,8
201,20100,2
202,20200,2
203,20300,1
204,20400,3
205,20500,2
206,20600,5
207,20700,1
208,20800,2
209,20900,3
211,21100,2
212,21200,2
213,21300,2
214,21400,1
215,21500,2
216,21600,2
217,21700,1
218,21800,3
219,21900,5
220,22000,7
222,22200,2
223,22300,3
224,22400,6
225,22500,3
226,22600,8
227,22700,6
228,22800,1
229,22900,4
230,23000,1
232,23200,2
233,23300,1
235,23500,3
236,23600,2
238,23800,3
239,23900,2
240,24000,3
241,24100,3
242,24200,3
243,24300,1
244,24400,1
245,24500,3
246,24600,2
247,24700,1
248,24800,3
249,24900,3
250,25000,2
251,25100,1
252,25200,3
253,25300,1
254,25400,1
255,25500,1
257,25700,2
258,25800,2
259,25900,1
262,26200,1
263,26300,1
264,26400,4
265,26500,2
266,26600,2
267,26700,1
268,26800,2
269,26900,2
272,27200,1
273,27300,1
278,27800,2
279,27900,1
280,28000,2
281,28100,1
282,28200,1
283,28300,1
284,28400,1
285,28500,1
288,28800,1
290,29000,2
291,29100,1
296,29600,1
297,29700,1
298,29800,1
299,29900,1
300,30000,5
304,30400,1
308,30800,1
309,30900,1
310,31000,1
312,31200,1
317,31700,1
320,32000,2
321,32100,2
323,32300,1
326,32600,3
327,32700,2
328,32800,1
330,33000,1
333,33300,1
337,33700,3
338,33800,1
339,33900,1
342,34200,1
344,34400,1
347,34700,1
348,34800,1
349,34900,1
350,35000,2
351,35100,1
352,35200,1
355,35500,1
356,35600,1
358,35800,1
359,35900,1
360,36000,1
361,36100,1
362,36200,2
363,36300,1
365,36500,1
369,36900,2
370,37000,1
372,37200,1
374,37400,1
377,37700,2
382,38200,1
383,38300,1
384,38400,1
386,38600,1
387,38700,3
388,38800,1
389,38900,2
395,39500,1
398,39800,1
399,39900,2
400,40000,3
404,40400,1
410,41000,2
411,41100,1
412,41200,1
414,41400,1
417,41700,1
422,42200,1
429,42900,1
430,43000,1
442,44200,1
445,44500,1
450,45000,1
451,45100,1
453,45300,1
454,45400,1
462,46200,1
473,47300,1
477,47700,1
484,48400,1
488,48800,1
490,49000,1
494,49400,1
517,51700,1
518,51800,1
523,52300,1
527,52700,1
538,53800,1
550,55000,1
555,55500,1
559,55900,1
565,56500,1
569,56900,1
590,59000,1
594,59400,2
595,59500,1
596,59600,1
608,60800,1
619,61900,1
639,63900,1
655,65500,1
658,65800,1
659,65900,1
668,66800,2
672,67200,1
689,68900,4
690,69000,2
701,70100,1
705,70500,1
709,70900,1
723,72300,1
730,73000,1
735,73500,1
742,74200,1
774,77400,2
796,79600,1
800,80000,1
807,80700,1
828,82800,1
831,83100,2
843,84300,1
852,85200,1
864,86400,1
876,87600,1
889,88900,1
897,89700,1
933,93300,1
