book_id,symbol,data_dir,hawkes_rates_file,fundamental_price_ticks,initial_best_bid_ticks,initial_best_ask_ticks,initial_best_bid_depth,initial_best_ask_depth,beta,basket_weight,market_maker_quote_quantity,target_spread_ticks,quote_improvement_probability
0,QQQ,data/itch_20191230_qqq,data/itch_20191230_qqq/hawkes_rates_qqq_balanced_20191230.csv,2135200.0,2135100,2135300,2100,2200,1.0,0.0,100,1,0.20723597740755212
1,AAPL,data/itch_20191230_aapl,data/itch_20191230_aapl/hawkes_rates_aapl_balanced_20191230.csv,2896350.0,2895300,2897400,686,200,1.3564771449981265,0.10952264763442063,100,3,0.11037547180440539
2,MSFT,data/itch_20191230_msft,data/itch_20191230_msft/hawkes_rates_msft_balanced_20191230.csv,1588250.0,1588200,1588300,3,562,0.743841326339453,0.1148636758566884,100,1,0.12771828087733247
3,AMZN,data/itch_20191230_amzn,data/itch_20191230_amzn/hawkes_rates_amzn_balanced_20191230.csv,18730000.0,18720000,18740000,100,900,8.77201198950918,0.09292947434937861,100,58,0.08764375472965051
