book_id,symbol,data_dir,hawkes_rates_file,fundamental_price_ticks,initial_best_bid_ticks,initial_best_ask_ticks,initial_best_bid_depth,initial_best_ask_depth,beta,basket_weight,market_maker_quote_quantity,target_spread_ticks,quote_improvement_probability,target_mean_bid_depth,target_mean_ask_depth
0,QQQ,data/itch_20200130_qqq,data/itch_20200130_qqq/hawkes_rates_qqq_balanced_20200130.csv,2203550.0,2203400,2203700,1623,823,1.0,0.0,100,1,0.20942932818264257,1197.7934615384615,1150.064700854701
1,AAPL,data/itch_20200130_aapl,data/itch_20200130_aapl/hawkes_rates_aapl_balanced_20200130.csv,3206150.0,3204500,3207800,11,10,1.4549930793492318,0.10952264763442063,100,4,0.1857486448578573,159.58128205128205,174.84589743589743
2,MSFT,data/itch_20200130_msft,data/itch_20200130_msft/hawkes_rates_msft_balanced_20200130.csv,1740250.0,1740000,1740500,500,800,0.789748360599941,0.1148636758566884,100,2,0.15630644115973116,336.23226495726493,281.32162393162395
3,AMZN,data/itch_20200130_amzn,data/itch_20200130_amzn/hawkes_rates_amzn_balanced_20200130.csv,18594650.0,18589300,18600000,153,3,8.438496970797123,0.09292947434937861,100,61,0.1020482990298574,63.98696581196581,52.939358974358974
