improvement_ticks,improvement_price_units,count
1,100,294177
2,200,24152
3,300,15695
4,400,12153
5,500,9950
6,600,8000
7,700,6669
8,800,5721
9,900,5225
10,1000,5352
11,1100,4023
12,1200,3847
13,1300,3526
14,1400,3459
15,1500,3411
16,1600,3013
17,1700,2625
18,1800,2265
19,1900,2338
20,2000,2272
21,2100,1961
22,2200,1669
23,2300,1516
24,2400,1572
25,2500,1361
26,2600,1227
27,2700,1399
28,2800,1079
29,2900,1050
30,3000,1103
31,3100,867
32,3200,864
33,3300,761
34,3400,786
35,3500,719
36,3600,625
37,3700,890
38,3800,610
39,3900,627
40,4000,607
41,4100,493
42,4200,479
43,4300,412
44,4400,465
45,4500,411
46,4600,431
47,4700,372
48,4800,395
49,4900,439
50,5000,487
51,5100,347
52,5200,350
53,5300,295
54,5400,349
55,5500,246
56,5600,247
57,5700,193
58,5800,192
59,5900,205
60,6000,271
61,6100,174
62,6200,178
63,6300,151
64,6400,188
65,6500,147
66,6600,155
67,6700,122
68,6800,126
69,6900,189
70,7000,145
71,7100,113
72,7200,106
73,7300,107
74,7400,99
75,7500,103
76,7600,122
77,7700,170
78,7800,108
79,7900,97
80,8000,118
81,8100,94
82,8200,79
83,8300,66
84,8400,85
85,8500,96
86,8600,108
87,8700,88
88,8800,80
89,8900,95
90,9000,95
91,9100,83
92,9200,71
93,9300,65
94,9400,62
95,9500,101
96,9600,110
97,9700,57
98,9800,63
99,9900,67
100,10000,130
101,10100,41
102,10200,65
103,10300,63
104,10400,65
105,10500,79
106,10600,44
107,10700,36
108,10800,50
109,10900,46
110,11000,56
111,11100,34
112,11200,45
113,11300,133
114,11400,62
115,11500,74
116,11600,32
117,11700,36
118,11800,20
119,11900,30
120,12000,22
121,12100,16
122,12200,31
123,12300,33
124,12400,36
125,12500,27
126,12600,30
127,12700,31
128,12800,28
129,12900,31
130,13000,30
131,13100,19
132,13200,21
133,13300,17
134,13400,19
135,13500,27
136,13600,22
137,13700,29
138,13800,20
139,13900,25
140,14000,28
141,14100,25
142,14200,14
143,14300,22
144,14400,21
145,14500,26
146,14600,23
147,14700,25
148,14800,25
149,14900,31
150,15000,33
151,15100,28
152,15200,20
153,15300,19
154,15400,17
155,15500,24
156,15600,21
157,15700,15
158,15800,21
159,15900,22
160,16000,24
161,16100,11
162,16200,14
163,16300,9
164,16400,19
165,16500,10
166,16600,16
167,16700,11
168,16800,11
169,16900,10
170,17000,19
171,17100,15
172,17200,6
173,17300,17
174,17400,20
175,17500,21
176,17600,17
177,17700,10
178,17800,20
179,17900,15
180,18000,14
181,18100,19
182,18200,13
183,18300,15
184,18400,16
185,18500,18
186,18600,6
187,18700,13
188,18800,13
189,18900,17
190,19000,13
191,19100,13
192,19200,7
193,19300,12
194,19400,14
195,19500,18
196,19600,11
197,19700,15
198,19800,22
199,19900,23
200,20000,44
201,20100,17
202,20200,10
203,20300,15
204,20400,19
205,20500,5
206,20600,15
207,20700,7
208,20800,14
209,20900,13
210,21000,15
211,21100,17
212,21200,20
213,21300,15
214,21400,8
215,21500,13
216,21600,13
217,21700,13
218,21800,8
219,21900,6
220,22000,4
221,22100,5
222,22200,12
