improvement_ticks,improvement_price_units,count
1,100,1393338
2,200,56072
3,300,15218
4,400,5556
5,500,2539
6,600,1280
7,700,763
8,800,444
9,900,286
10,1000,196
11,1100,135
12,1200,127
13,1300,79
14,1400,62
15,1500,62
16,1600,38
17,1700,28
18,1800,20
19,1900,30
20,2000,15
21,2100,13
22,2200,12
23,2300,9
24,2400,14
25,2500,15
26,2600,13
27,2700,9
28,2800,8
29,2900,5
30,3000,5
31,3100,6
32,3200,3
33,3300,6
34,3400,4
36,3600,3
37,3700,3
38,3800,3
39,3900,1
40,4000,8
41,4100,5
42,4200,3
43,4300,2
45,4500,6
46,4600,1
49,4900,6
50,5000,3
51,5100,4
52,5200,1
53,5300,3
54,5400,1
55,5500,5
56,5600,1
57,5700,2
58,5800,3
59,5900,2
60,6000,1
61,6100,2
62,6200,1
64,6400,1
66,6600,1
67,6700,1
69,6900,1
70,7000,1
71,7100,4
72,7200,2
74,7400,1
76,7600,2
77,7700,1
78,7800,1
79,7900,1
81,8100,1
82,8200,2
83,8300,2
86,8600,1
87,8700,2
88,8800,1
89,8900,1
92,9200,1
94,9400,1
95,9500,1
98,9800,2
99,9900,1
100,10000,2
102,10200,1
104,10400,4
105,10500,1
109,10900,1
113,11300,1
114,11400,1
120,12000,2
123,12300,1
131,13100,1
132,13200,1
136,13600,1
137,13700,1
138,13800,1
143,14300,1
144,14400,1
146,14600,1
148,14800,1
153,15300,1
162,16200,1
179,17900,1
199,19900,1
212,21200,1
237,23700,1
239,23900,1
270,27000,1
275,27500,1
289,28900,1
290,29000,1
293,29300,1
294,29400,1
304,30400,1
340,34000,1
362,36200,1
437,43700,1
