improvement_ticks,improvement_price_units,count
1,100,1374767
2,200,57464
3,300,15638
4,400,5609
5,500,2609
6,600,1356
7,700,741
8,800,443
9,900,323
10,1000,258
11,1100,160
12,1200,123
13,1300,89
14,1400,53
15,1500,73
16,1600,38
17,1700,33
18,1800,32
19,1900,28
20,2000,23
21,2100,13
22,2200,24
23,2300,11
24,2400,26
25,2500,19
26,2600,5
27,2700,12
28,2800,10
29,2900,4
30,3000,12
31,3100,4
32,3200,5
33,3300,5
34,3400,7
35,3500,23
36,3600,5
37,3700,4
39,3900,8
40,4000,5
41,4100,2
42,4200,4
43,4300,3
44,4400,1
45,4500,4
46,4600,7
47,4700,2
48,4800,15
50,5000,4
51,5100,4
52,5200,1
53,5300,1
54,5400,3
55,5500,22
56,5600,1
57,5700,2
59,5900,1
60,6000,3
61,6100,3
62,6200,4
63,6300,1
64,6400,1
65,6500,1
66,6600,1
67,6700,1
68,6800,1
71,7100,1
73,7300,1
74,7400,1
75,7500,4
77,7700,1
79,7900,1
80,8000,1
81,8100,2
84,8400,2
85,8500,1
86,8600,1
87,8700,1
89,8900,1
90,9000,2
91,9100,1
92,9200,1
96,9600,2
98,9800,1
99,9900,2
100,10000,1
104,10400,2
105,10500,1
107,10700,1
109,10900,1
110,11000,1
113,11300,1
115,11500,1
116,11600,1
117,11700,1
119,11900,1
123,12300,1
124,12400,2
132,13200,1
139,13900,1
143,14300,1
144,14400,1
145,14500,1
150,15000,1
152,15200,1
160,16000,1
164,16400,1
166,16600,1
172,17200,2
182,18200,1
187,18700,1
190,19000,1
201,20100,1
204,20400,1
205,20500,1
208,20800,1
211,21100,2
212,21200,1
214,21400,1
269,26900,1
277,27700,1
362,36200,1
408,40800,1
478,47800,1
