improvement_ticks,improvement_price_units,count
1,100,1426138
2,200,182430
3,300,78722
4,400,40533
5,500,23430
6,600,15221
7,700,10204
8,800,7469
9,900,5492
10,1000,4429
11,1100,3254
12,1200,2608
13,1300,2031
14,1400,1630
15,1500,1398
16,1600,1137
17,1700,1001
18,1800,677
19,1900,575
20,2000,411
21,2100,333
22,2200,278
23,2300,193
24,2400,201
25,2500,202
26,2600,165
27,2700,143
28,2800,89
29,2900,81
30,3000,82
31,3100,79
32,3200,46
33,3300,60
34,3400,58
35,3500,32
36,3600,39
37,3700,24
38,3800,21
39,3900,35
40,4000,26
41,4100,24
42,4200,19
43,4300,24
44,4400,13
45,4500,21
46,4600,22
47,4700,18
48,4800,17
49,4900,15
50,5000,25
51,5100,9
52,5200,11
53,5300,16
54,5400,14
55,5500,17
56,5600,13
57,5700,9
58,5800,6
59,5900,11
60,6000,8
61,6100,5
62,6200,7
63,6300,3
64,6400,10
65,6500,9
66,6600,8
67,6700,2
68,6800,11
69,6900,6
70,7000,4
71,7100,2
72,7200,4
73,7300,2
74,7400,4
75,7500,5
76,7600,4
78,7800,4
79,7900,7
80,8000,6
81,8100,3
82,8200,2
83,8300,1
84,8400,7
85,8500,7
86,8600,5
87,8700,1
88,8800,5
89,8900,6
90,9000,3
91,9100,3
92,9200,2
93,9300,2
94,9400,6
95,9500,3
96,9600,4
97,9700,2
98,9800,3
99,9900,4
100,10000,4
101,10100,2
102,10200,3
103,10300,6
105,10500,2
106,10600,4
107,10700,4
108,10800,6
109,10900,3
110,11000,4
111,11100,3
112,11200,3
114,11400,2
115,11500,1
116,11600,1
117,11700,2
118,11800,7
119,11900,2
120,12000,1
121,12100,3
122,12200,5
124,12400,4
125,12500,1
126,12600,4
127,12700,3
129,12900,2
130,13000,4
131,13100,2
132,13200,2
134,13400,1
136,13600,1
137,13700,2
138,13800,1
139,13900,2
140,14000,2
141,14100,2
142,14200,4
143,14300,2
144,14400,1
145,14500,2
146,14600,3
147,14700,1
148,14800,2
149,14900,2
151,15100,6
152,15200,1
153,15300,3
155,15500,6
156,15600,1
157,15700,2
159,15900,3
160,16000,2
161,16100,1
162,16200,1
163,16300,1
166,16600,3
167,16700,1
168,16800,1
169,16900,3
170,17000,1
171,17100,1
172,17200,1
173,17300,3
174,17400,4
175,17500,1
176,17600,1
177,17700,2
179,17900,1
180,18000,2
181,18100,2
183,18300,2
186,18600,3
188,18800,2
189,18900,2
190,19000,4
191,19100,3
193,19300,3
194,19400,2
195,19500,1
196,19600,3
197,19700,2
198,19800,1
199,19900,2
200,20000,4
202,20200,2
203,20300,3
204,20400,1
205,20500,1
207,20700,1
210,21000,2
212,21200,4
215,21500,1
216,21600,1
218,21800,2
220,22000,3
223,22300,3
225,22500,3
226,22600,2
227,22700,1
228,22800,1
230,23000,3
231,23100,2
232,23200,2
233,23300,2
234,23400,1
236,23600,1
238,23800,2
239,23900,2
241,24100,1
242,24200,4
243,24300,1
244,24400,1
245,24500,2
247,24700,1
248,24800,3
250,25000,3
251,25100,1
252,25200,1
253,25300,1
255,25500,4
256,25600,2
257,25700,1
261,26100,4
262,26200,3
263,26300,1
265,26500,3
266,26600,3
267,26700,2
268,26800,2
270,27000,3
273,27300,1
276,27600,2
277,27700,1
278,27800,1
283,28300,1
288,28800,1
290,29000,1
291,29100,1
293,29300,2
294,29400,4
295,29500,1
296,29600,1
299,29900,1
300,30000,5
301,30100,1
305,30500,1
306,30600,1
310,31000,1
311,31100,1
312,31200,2
314,31400,1
315,31500,2
317,31700,1
318,31800,1
319,31900,1
320,32000,1
322,32200,2
324,32400,1
325,32500,1
326,32600,1
330,33000,1
333,33300,1
334,33400,3
336,33600,1
337,33700,1
338,33800,2
339,33900,1
343,34300,1
344,34400,2
345,34500,1
349,34900,2
350,35000,1
355,35500,1
357,35700,1
358,35800,1
360,36000,1
362,36200,2
363,36300,2
367,36700,2
368,36800,1
369,36900,1
370,37000,2
375,37500,3
377,37700,1
378,37800,1
379,37900,1
381,38100,1
384,38400,1
386,38600,2
388,38800,2
389,38900,1
390,39000,1
393,39300,3
395,39500,1
396,39600,1
397,39700,1
400,40000,2
405,40500,2
406,40600,1
407,40700,1
411,41100,1
412,41200,1
417,41700,2
418,41800,1
420,42000,1
421,42100,1
427,42700,1
428,42800,1
431,43100,2
443,44300,1
444,44400,1
446,44600,1
450,45000,1
466,46600,1
473,47300,1
477,47700,1
481,48100,1
483,48300,1
488,48800,1
489,48900,2
493,49300,1
504,50400,2
512,51200,1
515,51500,1
518,51800,1
523,52300,1
529,52900,1
532,53200,1
538,53800,2
544,54400,1
546,54600,2
556,55600,1
562,56200,1
564,56400,1
571,57100,1
572,57200,1
573,57300,1
584,58400,2
585,58500,1
592,59200,1
596,59600,1
600,60000,1
622,62200,1
632,63200,1
648,64800,1
671,67100,1
698,69800,1
731,73100,1
735,73500,1
747,74700,1
748,74800,1
771,77100,1
788,78800,1
792,79200,1
881,88100,1
934,93400,1
1091,109100,1
1207,120700,1
1472,147200,1
