risk_limit_per_asset,seed_count,mean_depth_difference_in_differences,sample_sd_depth_difference_in_differences,percentile_2p5_depth_difference_in_differences,percentile_97p5_depth_difference_in_differences,minimum_seed_mean_depth_difference_in_differences,maximum_seed_mean_depth_difference_in_differences,mean_spread_difference_in_differences_bps,sample_sd_spread_difference_in_differences_bps,percentile_2p5_spread_difference_in_differences_bps,percentile_97p5_spread_difference_in_differences_bps,mean_affected_fraction_difference_in_differences,sample_sd_affected_fraction_difference_in_differences,mean_peak_depth_difference_in_differences,mean_minimum_two_sided_book_fraction_on_shock,mean_minimum_shared_quote_scale_on_shock,mean_shared_mm_absorption_fraction
25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997297296,0.0,0.0
100,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997297296,0.0,0.0
