assets,background_artifact_count,background_artifacts_sha256,background_model,background_policy_sha256,capacity_threshold,hawkes_activity_scale,local_mm_improvement_probability,local_mm_interval_ms,local_mm_max_improvement_probability,local_mm_quantity_multiplier,local_mm_spread_elasticity,maximum_wall_seconds,median_communication_fraction,median_compute_imbalance,median_max_books_per_rank,median_max_compute_seconds,median_max_orders_per_rank,median_mean_books_per_rank,median_mean_compute_seconds,median_mean_orders_per_rank,median_min_books_per_rank,median_min_compute_seconds,median_min_orders_per_rank,median_orders_per_wall_second,median_wall_seconds,minimum_wall_seconds,parallel_efficiency,ranks,risk_limit_per_asset,shared_mm_mode,shared_quote_quantity,shock_mode,speedup_vs_rank1
1480,31,747967d24e3a7a189a57550fd1a2d362aa52bc12bc55fb3cac88b216992c1a27,queue-reactive-v1,fdef944abbd26ee59252de2edd0d64add75fbd738d9530bf24ff75b17f831d55,0.500000000,0.3,0.25,1000.0,1.0,1.0,0.0,469.089395110,0.686717350,2.090618323,47.000000000,9.470504261,10165576.000000000,46.250000000,4.541752389,4541378.156250000,46.000000000,3.556845206,3428292.000000000,9882010.144988840,14.705925097,14.502620078,nan,32,100.000000000,global,200,off,nan
1480,31,747967d24e3a7a189a57550fd1a2d362aa52bc12bc55fb3cac88b216992c1a27,queue-reactive-v1,fdef944abbd26ee59252de2edd0d64add75fbd738d9530bf24ff75b17f831d55,0.500000000,0.3,0.25,1000.0,1.0,1.0,0.0,14.695686367,0.684039254,2.089531141,47.000000000,9.547935598,10165577.000000000,46.250000000,4.558791422,4541373.281250000,46.000000000,3.594411366,3428292.000000000,9956110.025730696,14.596458318,14.542835725,nan,32,100.000000000,global,200,on,nan
1480,31,747967d24e3a7a189a57550fd1a2d362aa52bc12bc55fb3cac88b216992c1a27,queue-reactive-v1,fdef944abbd26ee59252de2edd0d64add75fbd738d9530bf24ff75b17f831d55,0.500000000,0.3,0.25,1000.0,1.0,1.0,0.0,471.023024301,0.688864091,2.092144631,47.000000000,9.195736393,10051345.000000000,46.250000000,4.483961576,4424037.750000000,46.000000000,3.499636009,3313749.000000000,9740433.010054905,14.534180139,14.286715263,nan,32,25.000000000,global,200,off,nan
1480,31,747967d24e3a7a189a57550fd1a2d362aa52bc12bc55fb3cac88b216992c1a27,queue-reactive-v1,fdef944abbd26ee59252de2edd0d64add75fbd738d9530bf24ff75b17f831d55,0.500000000,0.3,0.25,1000.0,1.0,1.0,0.0,469.303419514,0.700830348,2.113914877,47.000000000,9.381624620,10051346.000000000,46.250000000,4.496063086,4424068.343750000,46.000000000,3.482155558,3313749.000000000,9625236.653088737,14.708229221,14.432086457,nan,32,25.000000000,global,200,on,nan
